년도,구,소계_병원수
2019,소계,17610
2019,종로구,494
2019,중구,560
2019,용산구,307
2019,성동구,444
2019,광진구,552
2019,동대문구,607
2019,중랑구,511
2019,성북구,528
2019,강북구,461
2019,도봉구,369
2019,노원구,725
2019,은평구,662
2019,서대문구,435
2019,마포구,730
2019,양천구,626
2019,강서구,836
2019,구로구,559
2019,금천구,356
2019,영등포구,756
2019,동작구,576
2019,관악구,693
2019,서초구,1226
2019,강남구,2643
2019,송파구,1165
2019,강동구,789
