년도,구,소계_병원수
2016,소계,16896
2016,종로구,485
2016,중구,540
2016,용산구,298
2016,성동구,394
2016,광진구,539
2016,동대문구,599
2016,중랑구,490
2016,성북구,527
2016,강북구,438
2016,도봉구,363
2016,노원구,712
2016,은평구,622
2016,서대문구,431
2016,마포구,702
2016,양천구,613
2016,강서구,739
2016,구로구,566
2016,금천구,336
2016,영등포구,724
2016,동작구,559
2016,관악구,666
2016,서초구,1216
2016,강남구,2531
2016,송파구,1048
2016,강동구,758
