No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
50,2019년 2월,95.39,-0.01,94.64,-0.11,93.68,-0.11,93.74,-0.07,93.59,-0.02,93.04,-0.05,93.91,-0.01,93.81,-0.02,93.26,-0.02,92.62,-0.08,89.95,-0.18,94.73,0,94.79,-0.04,91.98,-0.26,93.1,-0.24,94.87,-0.1,93.54,-0.03,94.55,0,92.56,-0.03,92.83,-0.16,93.99,-0.03,93.03,-0.56,92.38,-0.82,92.22,-0.32,93.65,-0.53
51,2019년 3월,95.38,-0.01,94.51,-0.14,93.6,-0.08,93.53,-0.23,93.56,-0.03,92.83,-0.22,93.88,-0.03,93.81,-0.01,93.17,-0.09,92.35,-0.3,89.74,-0.23,94.61,-0.12,94.75,-0.04,91.89,-0.1,92.76,-0.37,94.74,-0.15,93.51,-0.03,94.51,-0.04,92.44,-0.13,92.58,-0.27,93.94,-0.05,92.62,-0.44,91.77,-0.65,91.91,-0.34,93.05,-0.64
52,2019년 4월,95.36,-0.02,94.44,-0.07,93.52,-0.09,93.23,-0.31,93.55,-0.01,92.77,-0.06,93.87,-0.01,93.69,-0.13,93.17,-0.01,92.22,-0.14,89.47,-0.3,94.59,-0.02,94.69,-0.07,91.81,-0.09,92.38,-0.41,94.54,-0.21,93.44,-0.08,94.51,0,92.39,-0.06,92.29,-0.31,93.88,-0.07,92.21,-0.45,91.56,-0.23,91.77,-0.15,92.45,-0.64
53,2019년 5월,95.35,-0.02,94.38,-0.07,93.49,-0.03,92.82,-0.44,93.55,-0.01,92.73,-0.04,93.86,-0.01,93.63,-0.06,93.15,-0.01,92.12,-0.11,89.42,-0.06,94.58,-0.02,94.64,-0.05,91.75,-0.07,92.23,-0.16,94.4,-0.15,93.41,-0.03,94.5,-0.02,92.35,-0.04,92.15,-0.16,93.83,-0.05,92,-0.22,91.53,-0.03,91.71,-0.06,91.88,-0.62
54,2019년 6월,95.34,-0.01,94.37,0,93.48,-0.01,92.63,-0.2,93.54,-0.01,92.71,-0.02,93.85,-0.01,93.6,-0.03,93.15,0,92.06,-0.06,89.39,-0.03,94.57,-0.01,94.63,-0.01,91.75,0,92.15,-0.09,94.28,-0.13,93.43,0.02,94.49,-0.01,92.35,-0.01,92.11,-0.04,93.8,-0.04,91.98,-0.03,91.54,0.02,91.72,0.01,91.68,-0.21
55,2019년 7월,95.37,0.03,94.43,0.06,93.6,0.13,92.72,0.1,93.62,0.09,92.72,0.01,93.85,-0.01,93.62,0.02,93.18,0.03,92.12,0.06,89.45,0.06,94.59,0.02,94.72,0.09,91.86,0.12,92.26,0.13,94.26,-0.02,93.45,0.02,94.55,0.06,92.5,0.17,92.22,0.12,93.81,0.01,92.14,0.17,91.69,0.16,91.84,0.13,91.6,-0.09
56,2019년 8월,95.45,0.09,94.59,0.16,93.76,0.17,92.93,0.23,93.78,0.18,92.86,0.15,93.93,0.08,93.78,0.17,93.31,0.15,92.24,0.13,89.55,0.11,94.65,0.07,94.86,0.15,92.06,0.22,92.34,0.08,94.32,0.06,93.52,0.08,94.64,0.09,92.67,0.18,92.38,0.17,93.85,0.05,92.37,0.26,91.9,0.22,91.98,0.15,91.7,0.11
57,2019년 9월,95.61,0.17,94.79,0.22,93.99,0.24,93.17,0.26,93.97,0.2,93.02,0.18,94.03,0.11,93.93,0.16,93.48,0.17,92.4,0.18,89.73,0.19,94.75,0.1,94.99,0.14,92.29,0.26,92.42,0.1,94.42,0.11,93.62,0.11,94.76,0.13,92.86,0.21,92.55,0.18,93.95,0.1,92.62,0.27,92.06,0.18,92.13,0.16,91.9,0.22
58,2019년 10월,95.84,0.24,95.32,0.55,94.4,0.44,93.68,0.55,94.38,0.43,93.31,0.31,94.28,0.27,94.19,0.29,93.72,0.26,92.72,0.35,90.1,0.42,94.94,0.2,95.25,0.27,92.89,0.65,92.89,0.5,94.74,0.34,93.9,0.3,95.09,0.35,93.31,0.48,93.01,0.5,94.14,0.21,93.09,0.51,92.87,0.87,92.79,0.72,92.49,0.64
59,2019년 11월,96.05,0.22,95.65,0.35,94.9,0.53,94.29,0.65,94.7,0.34,93.68,0.39,94.52,0.25,94.54,0.36,93.96,0.26,93.09,0.4,90.45,0.38,95.18,0.25,95.64,0.41,93.44,0.59,93.45,0.6,95.11,0.39,94.27,0.39,95.4,0.32,93.86,0.6,93.69,0.73,94.44,0.32,93.77,0.72,93.68,0.87,93.5,0.77,93.08,0.64
60,2019년 12월,96.56,0.53,96.01,0.38,95.45,0.58,94.93,0.68,95.22,0.55,94.18,0.53,94.83,0.33,94.94,0.43,94.42,0.49,93.28,0.2,90.9,0.5,95.55,0.39,96.01,0.39,94.07,0.68,94.85,1.51,95.67,0.59,94.78,0.54,95.9,0.52,94.48,0.65,94.66,1.03,95,0.6,95.23,1.56,95.78,2.24,95.1,1.72,94.66,1.7
61,2020년 1월,96.84,0.29,96.19,0.19,95.76,0.33,95.17,0.25,95.49,0.29,94.47,0.32,95.04,0.23,95.22,0.3,94.67,0.26,93.47,0.2,91.25,0.39,95.81,0.27,96.23,0.23,94.46,0.41,95.36,0.53,95.89,0.23,95.07,0.31,96.11,0.22,94.89,0.44,95.08,0.45,95.23,0.25,95.61,0.39,96.22,0.46,95.5,0.41,95.07,0.43
62,2020년 2월,97.01,0.18,96.29,0.1,95.97,0.21,95.34,0.19,95.61,0.12,94.78,0.32,95.28,0.25,95.43,0.22,94.92,0.27,93.71,0.26,91.57,0.35,95.95,0.15,96.45,0.23,94.73,0.29,95.46,0.1,95.98,0.1,95.31,0.26,96.2,0.09,95.11,0.23,95.18,0.1,95.35,0.12,95.54,-0.07,96.13,-0.09,95.44,-0.06,95.19,0.12
63,2020년 3월,97.13,0.13,96.43,0.14,96.15,0.19,95.49,0.16,95.71,0.11,94.99,0.23,95.48,0.21,95.61,0.2,95.19,0.28,93.97,0.28,91.92,0.38,96.13,0.19,96.64,0.2,94.97,0.25,95.55,0.1,96.09,0.11,95.56,0.26,96.35,0.16,95.28,0.19,95.35,0.19,95.48,0.14,95.41,-0.13,95.94,-0.2,95.27,-0.17,95.32,0.14
64,2020년 4월,97.14,0,96.42,0,96.17,0.03,95.51,0.02,95.73,0.02,95.07,0.08,95.61,0.14,95.62,0,95.35,0.16,94.11,0.15,92.19,0.29,96.13,0.01,96.69,0.05,94.98,0.01,95.6,0.05,96.18,0.09,95.77,0.23,96.51,0.17,95.38,0.1,95.38,0.03,95.65,0.18,94.81,-0.63,95.32,-0.64,94.93,-0.36,95.31,-0.01
65,2020년 5월,97.12,-0.02,96.41,-0.02,96.14,-0.03,95.5,-0.01,95.72,-0.01,95.07,0,95.65,0.04,95.61,-0.01,95.37,0.02,94.1,-0.01,92.19,0,96.13,0,96.67,-0.02,94.9,-0.08,95.53,-0.07,96.14,-0.04,95.95,0.19,96.59,0.08,95.41,0.03,95.38,0,95.71,0.07,94.26,-0.59,94.72,-0.63,94.67,-0.28,95.21,-0.11
66,2020년 6월,97.21,0.09,96.49,0.08,96.29,0.15,95.66,0.16,95.86,0.15,95.24,0.19,95.74,0.1,95.66,0.05,95.49,0.13,94.2,0.11,92.35,0.17,96.15,0.03,96.73,0.06,95.06,0.16,95.69,0.16,96.22,0.08,96.22,0.28,96.76,0.18,95.55,0.14,95.52,0.14,95.88,0.17,94.31,0.06,94.8,0.08,94.89,0.24,95.23,0.02
67,2020년 7월,97.57,0.37,96.97,0.5,96.77,0.5,96.38,0.75,96.3,0.46,96.06,0.86,96.25,0.54,96.34,0.71,96.26,0.8,95.04,0.89,93.47,1.22,96.57,0.43,97.2,0.48,95.82,0.8,96.36,0.7,96.87,0.67,97.03,0.84,97.27,0.53,96.25,0.73,95.99,0.49,96.39,0.54,94.98,0.71,95.47,0.7,95.76,0.91,96.02,0.84
68,2020년 8월,97.84,0.28,97.33,0.36,97.15,0.39,96.89,0.53,96.73,0.45,96.52,0.48,96.66,0.43,96.85,0.53,96.65,0.41,95.52,0.51,94.1,0.67,96.94,0.38,97.6,0.42,96.24,0.44,96.8,0.46,97.28,0.43,97.46,0.45,97.64,0.38,96.77,0.55,96.33,0.36,96.82,0.45,95.29,0.32,95.79,0.34,96.03,0.28,96.25,0.24
69,2020년 9월,98.09,0.25,97.59,0.27,97.42,0.28,97.17,0.29,97.07,0.35,96.93,0.42,97.03,0.38,97.19,0.36,96.99,0.35,95.72,0.21,94.39,0.31,97.25,0.32,97.93,0.33,96.53,0.31,97.07,0.27,97.58,0.31,97.76,0.31,97.87,0.23,97.08,0.32,96.51,0.19,97.16,0.34,95.41,0.13,95.95,0.16,96.14,0.11,96.44,0.19
70,2020년 10월,98.27,0.18,97.77,0.18,97.56,0.14,97.35,0.18,97.29,0.23,97.11,0.19,97.29,0.27,97.39,0.21,97.19,0.21,95.9,0.18,94.59,0.22,97.46,0.21,98.09,0.16,96.76,0.23,97.18,0.11,97.71,0.13,97.91,0.15,98.02,0.15,97.21,0.14,96.69,0.18,97.35,0.2,95.5,0.09,96.02,0.07,96.2,0.06,96.53,0.1
71,2020년 11월,98.46,0.2,97.96,0.2,97.73,0.18,97.53,0.18,97.53,0.24,97.27,0.16,97.62,0.33,97.62,0.24,97.42,0.23,96.02,0.13,94.81,0.23,97.62,0.17,98.24,0.16,96.99,0.24,97.3,0.13,97.86,0.15,98.03,0.13,98.14,0.13,97.35,0.14,96.8,0.12,97.54,0.2,95.62,0.13,96.09,0.08,96.29,0.1,96.68,0.16
72,2020년 12월,98.69,0.24,98.23,0.27,97.98,0.26,97.81,0.29,97.8,0.28,97.55,0.29,97.85,0.24,97.87,0.25,97.72,0.31,96.22,0.21,95.21,0.42,97.89,0.27,98.43,0.2,97.34,0.37,97.52,0.23,98.08,0.22,98.2,0.17,98.34,0.2,97.55,0.2,96.93,0.13,97.83,0.29,96,0.4,96.34,0.26,96.51,0.22,96.92,0.25
