No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
13,2016년 1월,86.43,0.07,83.7,0.07,81.06,0.07,81.67,0.01,85.21,0.01,84.44,0.01,87.74,0.12,84.17,0.05,86.82,0.04,85.98,0.08,82.27,0.05,86.69,0.06,85.5,0.1,79.22,0.11,82.4,0.05,84.01,0.21,85,0.1,87.6,0.06,80.25,0.14,81.49,0.15,86.38,0.08,82.14,0.17,78.84,-0.22,80.77,-0.03,81.09,-0.22
14,2016년 2월,86.44,0.01,83.75,0.06,81.08,0.03,81.7,0.04,85.22,0.02,84.5,0.07,87.78,0.04,84.18,0,86.83,0.01,86.05,0.08,82.31,0.05,86.71,0.02,85.56,0.06,79.27,0.07,82.42,0.02,84.07,0.06,84.93,-0.08,87.64,0.05,80.21,-0.04,81.54,0.06,86.44,0.07,82.12,-0.03,78.69,-0.2,80.74,-0.04,80.97,-0.15
15,2016년 3월,86.45,0.01,83.78,0.04,81.11,0.04,81.74,0.04,85.22,-0.01,84.53,0.03,87.8,0.03,84.2,0.03,86.83,0,86.07,0.02,82.35,0.04,86.75,0.04,85.6,0.05,79.36,0.11,82.39,-0.04,84.1,0.04,84.88,-0.06,87.65,0.01,80.22,0,81.54,0,86.49,0.06,82.09,-0.03,78.66,-0.03,80.71,-0.04,80.9,-0.09
16,2016년 4월,86.47,0.03,83.84,0.07,81.2,0.11,81.8,0.08,85.24,0.03,84.6,0.09,87.84,0.04,84.22,0.02,86.87,0.05,86.16,0.11,82.4,0.06,86.84,0.11,85.67,0.08,79.42,0.07,82.32,-0.09,84.16,0.07,84.98,0.12,87.72,0.08,80.28,0.08,81.59,0.06,86.64,0.17,82.16,0.08,78.86,0.25,80.73,0.03,80.96,0.08
17,2016년 5월,86.53,0.07,83.9,0.08,81.3,0.12,81.85,0.06,85.27,0.03,84.68,0.09,87.91,0.09,84.29,0.08,86.9,0.04,86.22,0.07,82.44,0.05,86.98,0.16,85.83,0.19,79.53,0.14,82.32,0.01,84.3,0.16,85.12,0.16,87.82,0.11,80.43,0.19,81.69,0.11,86.79,0.17,82.36,0.25,79.29,0.55,80.81,0.09,81.16,0.25
18,2016년 6월,86.68,0.17,83.99,0.11,81.46,0.2,81.92,0.08,85.32,0.06,84.74,0.08,87.98,0.08,84.43,0.18,87,0.12,86.32,0.12,82.54,0.12,87.12,0.16,85.98,0.17,79.68,0.19,82.56,0.29,84.45,0.19,85.28,0.2,87.91,0.1,80.58,0.18,81.82,0.17,87,0.25,82.83,0.56,79.96,0.84,80.97,0.2,81.28,0.14
19,2016년 7월,86.82,0.17,84.09,0.12,81.68,0.27,81.95,0.04,85.42,0.12,84.85,0.13,88.01,0.03,84.58,0.18,87.16,0.19,86.42,0.12,82.71,0.21,87.29,0.2,86.14,0.19,79.91,0.29,82.77,0.26,84.68,0.27,85.49,0.24,87.99,0.1,80.84,0.32,82.02,0.24,87.19,0.21,83.12,0.35,80.46,0.63,81.09,0.15,81.47,0.24
20,2016년 8월,87,0.2,84.24,0.18,81.91,0.28,82.12,0.21,85.53,0.13,85,0.18,88.11,0.11,84.78,0.23,87.29,0.15,86.56,0.16,82.94,0.28,87.45,0.18,86.36,0.25,80.12,0.26,83.07,0.36,84.9,0.26,85.75,0.29,88.16,0.19,81,0.19,82.29,0.33,87.39,0.24,83.37,0.3,80.93,0.58,81.18,0.12,81.79,0.39
21,2016년 9월,87.17,0.2,84.39,0.17,82.14,0.28,82.29,0.2,85.63,0.11,85.12,0.14,88.17,0.06,84.97,0.23,87.42,0.15,86.7,0.16,83.18,0.29,87.59,0.16,86.55,0.22,80.33,0.26,83.39,0.39,85.12,0.26,85.98,0.27,88.33,0.19,81.24,0.3,82.51,0.28,87.57,0.2,83.59,0.27,81.49,0.69,81.35,0.2,82.13,0.41
22,2016년 10월,87.35,0.21,84.55,0.19,82.36,0.27,82.61,0.39,85.85,0.26,85.45,0.38,88.33,0.18,85.2,0.27,87.56,0.16,86.87,0.2,83.67,0.58,87.79,0.23,86.77,0.26,80.56,0.28,83.93,0.65,85.59,0.56,86.23,0.29,88.55,0.25,81.52,0.35,82.78,0.32,87.79,0.26,84.16,0.69,82.42,1.14,81.72,0.45,82.78,0.79
