No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
14,2022년 2월,102.69,-0.11,102.61,-0.02,103.91,-0.02,102.16,0,101.92,-0.02,102.58,-0.01,103.04,0,103.11,-0.14,102.36,-0.03,104.3,-0.05,105.37,-0.08,103.37,-0.14,102.35,-0.09,103.35,-0.03,102.89,-0.02,103.25,-0.01,103.17,-0.01,102.59,-0.01,103.06,-0.01,103.89,0.01,102.71,-0.01,105.32,0.02,105.18,-0.03,105.24,-0.09,103.74,-0.07
15,2022년 3월,102.66,-0.02,102.57,-0.03,103.97,0.06,102.16,-0.01,101.91,-0.02,102.57,-0.01,103.01,-0.03,103.08,-0.03,102.29,-0.07,104.22,-0.08,105.29,-0.07,103.35,-0.02,102.32,-0.03,103.33,-0.02,102.89,0,103.23,-0.02,103.16,-0.01,102.57,-0.03,103.04,-0.02,103.9,0.01,102.7,-0.01,105.43,0.11,105.19,0.02,105.3,0.06,103.72,-0.03
16,2022년 4월,102.76,0.09,102.62,0.05,104.13,0.15,102.17,0.01,101.9,0,102.61,0.04,103.07,0.06,103.09,0.01,102.34,0.05,104.18,-0.03,105.28,-0.01,103.39,0.03,102.35,0.03,103.35,0.02,102.94,0.05,103.21,-0.02,103.17,0,102.59,0.02,103.08,0.04,103.98,0.07,102.69,-0.01,105.56,0.12,105.34,0.14,105.36,0.05,103.76,0.05
17,2022년 5월,102.86,0.1,102.64,0.02,104.31,0.17,102.19,0.02,101.98,0.08,102.71,0.1,103.15,0.07,103.12,0.03,102.41,0.08,104.19,0,105.18,-0.09,103.43,0.04,102.4,0.05,103.38,0.03,102.98,0.04,103.2,-0.01,103.18,0.01,102.61,0.02,103.13,0.05,104.08,0.1,102.69,0,105.74,0.17,105.43,0.09,105.37,0.02,103.8,0.03
18,2022년 6월,102.91,0.05,102.63,-0.01,104.41,0.09,102.2,0.02,102.07,0.09,102.89,0.17,103.18,0.03,103.05,-0.07,102.42,0.01,104.15,-0.03,105.01,-0.16,103.37,-0.06,102.38,-0.02,103.37,-0.01,102.97,-0.01,103.14,-0.06,103.17,-0.01,102.61,0,103.13,0,104.14,0.06,102.68,-0.01,105.84,0.1,105.46,0.03,105.33,-0.05,103.8,0
19,2022년 7월,102.9,-0.02,102.48,-0.14,104.46,0.05,102.19,-0.01,102.08,0.01,102.83,-0.06,103.15,-0.03,102.86,-0.18,102.37,-0.05,103.81,-0.32,104.54,-0.45,103.22,-0.15,102.27,-0.11,103.23,-0.14,102.95,-0.02,103.02,-0.12,103.09,-0.09,102.53,-0.08,103.09,-0.04,104.17,0.02,102.68,0,105.94,0.09,105.44,-0.02,105.25,-0.07,103.79,-0.01
20,2022년 8월,102.72,-0.17,102.08,-0.4,104.46,-0.01,102.14,-0.05,102.07,-0.01,102.59,-0.23,102.99,-0.15,102.49,-0.36,102.21,-0.16,103.2,-0.59,103.66,-0.84,102.89,-0.32,101.93,-0.33,102.94,-0.28,102.81,-0.13,102.81,-0.2,102.88,-0.2,102.34,-0.18,102.85,-0.23,104.1,-0.06,102.58,-0.1,105.89,-0.05,105.3,-0.14,104.88,-0.36,103.69,-0.1
21,2022년 9월,102.29,-0.41,101.45,-0.62,104.21,-0.23,101.99,-0.15,101.95,-0.12,102.19,-0.39,102.62,-0.36,101.91,-0.57,101.96,-0.24,102.34,-0.83,102.44,-1.17,102.36,-0.51,101.37,-0.55,102.41,-0.52,102.47,-0.33,102.3,-0.49,102.42,-0.45,101.94,-0.4,102.46,-0.39,103.78,-0.31,102.18,-0.39,105.73,-0.15,104.9,-0.38,104.15,-0.69,103.31,-0.37
22,2022년 10월,101.85,-0.43,100.6,-0.83,103.52,-0.66,101.49,-0.49,101.65,-0.3,101.47,-0.7,101.97,-0.64,100.91,-0.97,101.46,-0.49,101.18,-1.13,100.83,-1.57,101.65,-0.7,100.66,-0.71,101.82,-0.58,101.73,-0.72,101.47,-0.82,101.64,-0.76,101.23,-0.7,101.71,-0.73,103.24,-0.52,101.41,-0.75,105.11,-0.59,104.05,-0.81,102.78,-1.31,102.4,-0.89
23,2022년 11월,101.17,-0.67,99.33,-1.26,102.7,-0.8,100.43,-1.05,101.03,-0.61,100.03,-1.42,100.77,-1.17,99.28,-1.62,100.42,-1.02,98.95,-2.2,97.99,-2.82,100.54,-1.09,99.56,-1.09,100.93,-0.87,100.52,-1.19,100.24,-1.21,100.42,-1.2,100.04,-1.17,100.18,-1.5,102.01,-1.2,100.27,-1.12,104.22,-0.84,102.76,-1.24,101,-1.73,100.83,-1.53
