년도,구,계_구역수 (개)
2021,종로구,22
2021,중구,12
2021,용산구,9
2021,성동구,17
2021,광진구,12
2021,동대문구,16
2021,중랑구,10
2021,성북구,11
2021,강북구,8
2021,도봉구,17
2021,노원구,19
2021,은평구,12
2021,서대문구,9
2021,마포구,13
2021,양천구,12
2021,강서구,20
2021,구로구,19
2021,금천구,12
2021,영등포구,11
2021,동작구,18
2021,관악구,12
2021,서초구,18
2021,강남구,21
2021,송파구,32
2021,강동구,11
