년도,구,계_구역수 (개)
2023,종로구,28
2023,중구,14
2023,용산구,9
2023,성동구,22
2023,광진구,13
2023,동대문구,19
2023,중랑구,26
2023,성북구,12
2023,강북구,8
2023,도봉구,16
2023,노원구,19
2023,은평구,13
2023,서대문구,10
2023,마포구,13
2023,양천구,12
2023,강서구,21
2023,구로구,23
2023,금천구,13
2023,영등포구,11
2023,동작구,36
2023,관악구,10
2023,서초구,18
2023,강남구,21
2023,송파구,33
2023,강동구,11
