구,총인구,내국인-계,외국인-계
종로구,154398,144049,10349
중구,128160,117960,10200
용산구,224993,209710,15283
성동구,294744,284735,10009
광진구,363979,346476,17503
동대문구,359935,343744,16191
중랑구,399317,393547,5770
성북구,451800,439623,12177
강북구,316212,311917,4295
도봉구,336745,334165,2580
노원구,555420,550729,4691
은평구,472242,466813,5429
서대문구,320258,308419,11839
마포구,375142,363741,11401
양천구,460267,454621,5646
강서구,574287,565968,8319
구로구,442165,401635,40530
금천구,247819,222790,25029
영등포구,398120,350363,47757
동작구,404076,388664,15412
관악구,515648,491182,24466
서초구,419682,413015,6667
강남구,532469,524484,7985
송파구,628212,618466,9746
강동구,429416,423523,5893
