구,총인구,내국인-계,외국인-계
종로구,161521,146119,15402
중구,128478,118021,10457
용산구,227282,212189,15093
성동구,295006,285137,9869
광진구,368199,350993,17206
동대문구,364787,349957,14830
중랑구,403237,397487,5750
성북구,456844,445710,11134
강북구,319992,315754,4238
도봉구,340095,337541,2554
노원구,562996,558270,4726
은평구,478374,472775,5599
서대문구,308768,297761,11007
마포구,381330,369875,11455
양천구,465512,459665,5847
강서구,570507,562468,8039
구로구,444832,405371,39461
금천구,250690,225898,24792
영등포구,406528,357484,49044
동작구,407894,392969,14925
관악구,519622,495600,24022
서초구,420804,413695,7109
강남구,541688,533061,8627
송파구,634941,625195,9746
강동구,444385,438201,6184
