구,총인구,내국인-계,외국인-계
종로구,157277,146298,10979
중구,127896,117631,10265
용산구,223898,207893,16005
성동구,302367,291931,10436
광진구,363934,345535,18399
동대문구,357380,339438,17942
중랑구,396892,390879,6013
성북구,445417,432226,13191
강북구,313698,309255,4443
도봉구,332586,329957,2629
노원구,543499,538768,4731
은평구,466243,460651,5592
서대문구,321345,308193,13152
마포구,368841,356881,11960
양천구,452111,446643,5468
강서구,581675,572993,8682
구로구,436869,394962,41907
금천구,249930,224487,25443
영등포구,393560,346852,46708
동작구,400236,384227,16009
관악구,511222,486747,24475
서초구,414550,408012,6538
강남구,522514,514859,7655
송파구,633953,624535,9418
강동구,423978,418091,5887
