년도,구,계_구역수 (개),계_면적 (㎡)
2021,종로구,22,6149320
2021,중구,12,2121211
2021,용산구,9,5478265
2021,성동구,17,2012724
2021,광진구,12,1811926
2021,동대문구,16,1239762
2021,중랑구,10,2128926
2021,성북구,11,2831752
2021,강북구,8,920645
2021,도봉구,17,1174722
2021,노원구,19,7463552
2021,은평구,12,1545788
2021,서대문구,9,843610
2021,마포구,13,1288162
2021,양천구,12,6165201
2021,강서구,20,4245940
2021,구로구,19,3662629
2021,금천구,12,1802589
2021,영등포구,11,1887984
2021,동작구,18,1011855
2021,관악구,12,1820496
2021,서초구,18,6440728
2021,강남구,21,19976325
2021,송파구,32,7627950
2021,강동구,11,6603928
