년도,구,계_구역수 (개),계_면적 (㎡)
2022,종로구,28,6198122
2022,중구,13,3205105
2022,용산구,9,5478265
2022,성동구,19,2054529
2022,광진구,12,1811926
2022,동대문구,18,1246690
2022,중랑구,10,2128926
2022,성북구,11,2842467
2022,강북구,8,920645
2022,도봉구,16,1290508
2022,노원구,19,7459939
2022,은평구,12,1545788
2022,서대문구,9,843610
2022,마포구,12,1148598
2022,양천구,12,6165201
2022,강서구,20,4254465
2022,구로구,19,3662702
2022,금천구,13,3276928
2022,영등포구,11,1887984
2022,동작구,31,1234226
2022,관악구,12,1821868
2022,서초구,8,692668
2022,강남구,21,19976325
2022,송파구,32,7627950
2022,강동구,11,6603928
