연도,구,평균시세
2020,강남구,140989.48
2020,강동구,62985.88
2020,강북구,36318.79
2020,강서구,45417.96
2020,관악구,48982.06
2020,광진구,64873.94
2020,구로구,42808.12
2020,금천구,36394.21
2020,노원구,47673.63
2020,도봉구,37947.64
2020,동대문구,57877.72
2020,동작구,75534.94
2020,마포구,73156.62
2020,서대문구,59225.18
2020,서초구,127665.0
2020,성동구,102406.96
2020,성북구,55634.44
2020,송파구,83864.13
2020,양천구,53778.94
2020,영등포구,66191.98
2020,용산구,108495.59
2020,은평구,40425.28
2020,종로구,62523.6
2020,중구,72956.13
2020,중랑구,44894.68
