년도,구,계_구역수 (개),계_면적 (㎡)
2023,종로구,28,6198122
2023,중구,14,3404441
2023,용산구,9,5545378
2023,성동구,22,2175500
2023,광진구,13,1956704
2023,동대문구,19,1272670
2023,중랑구,26,3834338
2023,성북구,12,2947826
2023,강북구,8,920645
2023,도봉구,16,1290508
2023,노원구,19,7459939
2023,은평구,13,1656022
2023,서대문구,10,892820
2023,마포구,13,1534432
2023,양천구,12,6723337
2023,강서구,21,4896597
2023,구로구,23,3745030
2023,금천구,13,3276928
2023,영등포구,11,1887984
2023,동작구,36,1481208
2023,관악구,10,1865830
2023,서초구,18,6538516
2023,강남구,21,19976325
2023,송파구,33,7654325
2023,강동구,11,6931646
