년도,구,계_구역수 (개),계_면적 (㎡)
2015,종로구,17,7391333
2015,중구,9,940188
2015,용산구,6,4094275
2015,성동구,12,1753326
2015,광진구,9,1739344
2015,동대문구,13,987832
2015,중랑구,9,2127417
2015,성북구,12,2878271
2015,강북구,6,795067
2015,도봉구,12,1114461
2015,노원구,23,7819848
2015,은평구,12,1451114
2015,서대문구,8,840367
2015,마포구,9,969561
2015,양천구,11,6708418
2015,강서구,17,4219519
2015,구로구,4,1814180
2015,금천구,9,1364358
2015,영등포구,27,4943864
2015,동작구,17,988272
2015,관악구,12,1762156
2015,서초구,10,5643511
2015,강남구,15,18163184
2015,송파구,15,4819910
2015,강동구,10,6598035
