년도,구,계_구역수 (개),계_면적 (㎡)
2020,종로구,22,6149320
2020,중구,11,1754658
2020,용산구,8,4505670
2020,성동구,14,1264197
2020,광진구,12,1811926
2020,동대문구,15,1239723
2020,중랑구,10,2128926
2020,성북구,11,2831752
2020,강북구,8,920645
2020,도봉구,17,1174722
2020,노원구,23,7694395
2020,은평구,12,1545788
2020,서대문구,9,843610
2020,마포구,13,1288162
2020,양천구,12,6165201
2020,강서구,19,4226429
2020,구로구,18,3658171
2020,금천구,12,1802589
2020,영등포구,11,1881024
2020,동작구,18,1011855
2020,관악구,12,1820496
2020,서초구,18,6440728
2020,강남구,21,19976325
2020,송파구,28,7459516
2020,강동구,11,6603928
