년도,구,계_구역수 (개),계_면적 (㎡)
2019,종로구,21,7967027
2019,중구,11,1754658
2019,용산구,8,4505670
2019,성동구,11,1416126
2019,광진구,12,1811926
2019,동대문구,13,1189468
2019,중랑구,10,2128926
2019,성북구,11,2831752
2019,강북구,7,918750
2019,도봉구,16,1169267
2019,노원구,24,7978003
2019,은평구,12,1451040
2019,서대문구,9,843610
2019,마포구,13,1288162
2019,양천구,12,6798212
2019,강서구,18,4225721
2019,구로구,4,1803271
2019,금천구,11,1487352
2019,영등포구,8,1713578
2019,동작구,18,1011855
2019,관악구,12,1820496
2019,서초구,16,6227262
2019,강남구,21,19976325
2019,송파구,19,4968170
2019,강동구,11,6603928
