년도,구,계_구역수 (개),계_면적 (㎡)
2016,종로구,19,7571528
2016,중구,9,940188
2016,용산구,6,4094275
2016,성동구,12,1753326
2016,광진구,10,1773567
2016,동대문구,13,930589
2016,중랑구,9,2127417
2016,성북구,11,2831752
2016,강북구,7,918873
2016,도봉구,13,1366751
2016,노원구,23,7819848
2016,은평구,12,1451114
2016,서대문구,8,840367
2016,마포구,10,1190017
2016,양천구,11,6708418
2016,강서구,17,4219519
2016,구로구,4,1803271
2016,금천구,10,1486170
2016,영등포구,29,5359104
2016,동작구,17,988272
2016,관악구,12,1762156
2016,서초구,10,5643511
2016,강남구,15,18163184
2016,송파구,17,4733432
2016,강동구,10,6598035
