년도,구,계_구역수 (개),계_면적 (㎡)
2017,종로구,19,7700236
2017,중구,9,940188
2017,용산구,6,4283869
2017,성동구,12,1753326
2017,광진구,10,1773567
2017,동대문구,13,930589
2017,중랑구,9,2127417
2017,성북구,11,2831752
2017,강북구,7,918750
2017,도봉구,13,1137884
2017,노원구,21,7777245
2017,은평구,12,1451040
2017,서대문구,8,789487
2017,마포구,11,1201018
2017,양천구,11,6708418
2017,강서구,17,4219519
2017,구로구,4,1803271
2017,금천구,10,1441676
2017,영등포구,7,1707262
2017,동작구,17,988272
2017,관악구,12,1818093
2017,서초구,9,6003551
2017,강남구,15,18163184
2017,송파구,17,4753143
2017,강동구,10,6598035
