"시점",15세이상인구,15세이상인구,15세이상인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,경제활동인구,비경제활동인구,비경제활동인구,비경제활동인구
"시점",소계,소계,소계,소계,소계,소계,취업자,취업자,취업자,실업자,실업자,실업자,소계,소계,소계
"시점",합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자
"2021",8533,4055,4478,5312,2872,2440,5055,2736,2319,257,136,121,3221,1183,2038
"2022",8465,4017,4448,5295,2857,2438,5113,2759,2355,181,98,83,3171,1160,2010
"2023",8469,4018,4451,5319,2844,2475,5174,2772,2402,146,72,74,3150,1174,1976
