"행정구역별(시군구)","거처의 종류",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(시군구)","거처의 종류",거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원,거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원,거처,가구-계,일반가구,집단가구-비친족 6인 이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비친족 6인 이상 가구,집단가구원-집단시설가구,외국인가구원
"중구","주택 이외의 거처_오피스텔",5078,5117,4612,X,X,504,6850,6067,X,48,735,5655,5695,5063,X,X,631,7597,6619,X,66,912,6156,6190,5590,X,X,599,8042,7142,X,93,807
"용산구","계",78604,102638,96989,66,25,5558,216284,204104,523,1418,10239,79927,103974,98483,55,24,5412,214065,202679,461,1247,9678,80057,103826,98322,47,26,5431,211056,199442,403,1820,9391
"용산구","주택_계",71651,94347,89464,59,X,4823,204043,194318,473,25,9227,72628,95427,90634,49,X,4743,201620,192457,409,23,8731,72675,94817,90180,41,X,4594,197731,188992,335,40,8364
"용산구","주택_단독주택",13613,35399,32493,25,X,2880,65446,59982,196,25,5243,13308,35216,32213,25,X,2977,63654,58261,227,23,5143,13046,34296,31370,18,X,2906,61156,55947,159,40,5010
"용산구","주택_아파트",36278,36403,35260,15,X,1128,92755,90161,111,X,2483,37176,37286,36289,8,X,989,92833,90606,53,X,2174,37098,37195,36267,9,X,919,91724,89685,58,X,1981
"용산구","주택_연립주택",3516,3535,3325,X,X,210,8659,8184,X,X,475,3494,3511,3313,X,X,197,8459,8030,6,X,423,3490,3503,3317,X,X,186,8293,7914,X,X,379
"용산구","주택_다세대주택",17636,17667,17137,11,X,519,34627,33675,88,X,864,18077,18107,17605,8,X,494,34295,33386,63,X,846,18483,18517,18017,8,X,492,34226,33323,56,X,847
"용산구","주택_비주거용 건물 내 주택",608,1343,1249,8,X,86,2556,2316,78,X,162,573,1307,1214,7,X,86,2379,2174,60,X,145,558,1306,1209,6,X,91,2332,2123,62,X,147
"용산구","주택 이외의 거처_계",6953,8291,7525,7,24,735,12241,9786,50,1393,1012,7299,8547,7849,6,23,669,12445,10222,52,1224,947,7382,9009,8142,6,24,837,13325,10450,68,1780,1027
"용산구","주택 이외의 거처_오피스텔",5493,5498,5246,X,X,250,7111,6787,12,X,312,5697,5700,5505,X,X,195,7294,7058,X,X,236,5849,5853,5672,X,X,179,7434,7195,26,X,213
"성동구","계",95352,127440,122756,58,17,4609,282871,271868,445,3546,7012,95910,127790,122873,60,16,4841,278499,267408,454,3418,7219,96699,127950,123124,52,18,4756,274253,263868,420,3068,6897
"성동구","주택_계",88843,119509,115471,52,X,3985,269232,262463,400,130,6239,88782,119070,114894,53,X,4121,264201,257310,402,144,6345,89222,119055,114970,49,X,4033,260321,253754,397,135,6035
"성동구","주택_단독주택",9679,37905,34791,13,X,3100,67515,62455,93,130,4837,9383,37249,34062,13,X,3172,65010,59908,100,144,4858,9325,36754,33614,13,X,3125,63006,58149,98,104,4655
"성동구","주택_아파트",66732,66803,66360,6,X,437,170995,170213,37,X,745,66759,66824,66396,7,X,421,168721,167990,46,X,685,66777,66825,66435,X,X,388,166886,166284,14,X,588
"성동구","주택_연립주택",1930,1937,1919,X,X,17,5040,4992,8,X,40,2004,2007,1985,X,X,20,5080,5030,13,X,37,1927,1934,1903,X,X,30,4756,4704,7,X,45
"성동구","주택_다세대주택",9545,9582,9399,12,X,171,19997,19642,90,X,265,9727,9755,9542,14,X,199,19875,19444,108,X,323,10296,10322,10119,17,X,186,20236,19802,122,X,312
"성동구","주택_비주거용 건물 내 주택",957,3282,3002,20,X,260,5685,5161,172,X,352,909,3235,2909,17,X,309,5515,4938,135,X,442,897,3220,2899,16,X,304,5437,4815,156,31,435
"성동구","주택 이외의 거처_계",6509,7931,7285,6,16,624,13639,9405,45,3416,773,7128,8720,7979,7,14,720,14298,10098,52,3274,874,7477,8895,8154,X,15,723,13932,10114,23,2933,862
"성동구","주택 이외의 거처_오피스텔",5594,5599,5339,X,X,256,7156,6811,31,X,314,6238,6242,5977,X,X,264,7764,7439,8,X,317,6646,6651,6350,X,X,300,8113,7736,7,X,370
"광진구","계",99227,162785,153962,49,22,8752,342205,323607,397,3588,14613,101943,166046,156463,54,24,9505,341797,321703,480,4196,15418,104145,168848,158612,54,39,10143,343028,321416,456,5132,16024
"광진구","주택_계",90347,151333,143289,34,X,8008,323620,309576,283,25,13736,92409,153440,144828,37,X,8573,321337,306648,344,34,14311,93984,155153,146317,44,X,8790,320530,305630,386,41,14473
"광진구","주택_단독주택",15090,72293,65544,8,X,6739,129736,118087,68,25,11556,14891,72147,64993,6,X,7146,126423,114429,52,34,11908,14844,72094,64721,6,X,7365,124115,111981,51,41,12042
"광진구","주택_아파트",32152,32173,31981,X,X,190,90711,90370,16,X,325,33413,33432,33267,X,X,163,92121,91829,13,X,279,34487,34514,34316,X,X,196,94050,93707,14,X,329
"광진구","주택_연립주택",3993,3999,3967,X,X,32,10763,10687,X,X,76,4011,4019,3952,X,X,66,10496,10369,7,X,120,4007,4018,3967,X,X,48,10321,10211,22,X,88
"광진구","주택_다세대주택",37726,37786,37182,10,X,594,83366,82213,69,X,1084,38731,38796,38101,10,X,685,83359,82059,70,X,1230,39297,39370,38671,15,X,684,83148,81786,107,X,1255
"광진구","주택_비주거용 건물 내 주택",1386,5082,4615,14,X,453,9044,8219,130,X,695,1363,5046,4515,18,X,513,8938,7962,202,X,774,1349,5157,4642,18,X,497,8896,7945,192,X,759
"광진구","주택 이외의 거처_계",8880,11452,10673,15,20,744,18585,14031,114,3563,877,9534,12606,11635,17,22,932,20460,15055,136,4162,1107,10161,13695,12295,10,37,1353,22498,15786,70,5091,1551
"광진구","주택 이외의 거처_오피스텔",7085,7095,6840,X,X,253,9221,8905,12,X,304,7728,7740,7444,X,X,296,9803,9446,X,X,357,8307,8321,7944,X,X,376,10480,10027,6,X,447
"동대문구","계",115461,162315,153246,107,39,8923,342532,322786,909,5659,13178,118347,166787,155912,92,32,10751,344925,322525,867,5931,15602,123214,171039,159457,115,39,11428,349601,326843,1053,5788,15917
"동대문구","주택_계",102554,145870,138493,85,X,7289,316305,304382,752,38,11133,104179,148469,139774,82,X,8612,316438,302676,793,X,12967,107618,151157,142001,98,X,9056,319696,305629,933,19,13115
"동대문구","주택_단독주택",16282,56279,50545,35,X,5698,98160,89112,304,26,8718,16041,56787,50019,34,X,6734,97093,86617,318,X,10158,15996,55965,48879,36,X,7050,94105,83602,313,X,10190
"동대문구","주택_아파트",65376,65440,64924,7,X,508,168404,167501,61,X,841,66716,66781,66212,9,X,559,169265,168287,71,X,905,69988,70066,69456,6,X,603,175682,174715,42,9,916
"동대문구","주택_연립주택",3174,3178,3122,X,X,56,7558,7467,X,X,91,3204,3210,3154,X,X,54,7391,7290,13,X,88,3151,3164,3097,X,X,66,7350,7241,6,X,103
"동대문구","주택_다세대주택",16245,16289,15839,10,X,440,33811,33052,64,X,695,16763,16798,16281,X,X,513,34179,33334,25,X,820,17042,17078,16499,5,X,574,34020,33083,42,X,895
"동대문구","주택_비주거용 건물 내 주택",1477,4684,4063,33,X,587,8372,7250,323,11,788,1455,4893,4108,33,X,752,8510,7148,366,X,996,1441,4884,4070,50,X,763,8539,6988,530,10,1011
"동대문구","주택 이외의 거처_계",12907,16445,14753,22,36,1634,26227,18404,157,5621,2045,14168,18318,16138,10,31,2139,28487,19849,74,5929,2635,15596,19882,17456,17,37,2372,29905,21214,120,5769,2802
"동대문구","주택 이외의 거처_오피스텔",11428,11471,10659,X,X,807,14456,13226,20,198,1012,12653,12702,11727,X,X,973,15565,14304,6,42,1213,14135,14180,13020,X,X,1156,17219,15780,13,43,1383
