"행정구역별(1)",행정구역별(2),2021.01,2021.01,2021.02,2021.02,2021.03,2021.03,2021.04,2021.04,2021.05,2021.05,2021.06,2021.06,2021.07,2021.07,2021.08,2021.08,2021.09,2021.09,2021.10,2021.10,2021.11,2021.11,2021.12,2021.12,2022.01,2022.01,2022.02,2022.02,2022.03,2022.03,2022.04,2022.04,2022.05,2022.05,2022.06,2022.06,2022.07,2022.07,2022.08,2022.08,2022.09,2022.09,2022.10,2022.10,2022.11,2022.11,2022.12,2022.12,2023.01,2023.01,2023.02,2023.02,2023.03,2023.03,2023.04,2023.04,2023.05,2023.05,2023.06,2023.06,2023.07,2023.07,2023.08,2023.08,2023.09,2023.09,2023.10,2023.10,2023.11,2023.11,2023.12,2023.12,2024.01,2024.01,2024.02,2024.02,2024.03,2024.03,2024.04,2024.04,2024.05,2024.05,2024.06,2024.06,2024.07,2024.07,2024.08,2024.08,2024.09,2024.09
"행정구역별(1)",행정구역별(2),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡),동(호)수 (동(호)수),면적 (천㎡)
"서울특별시",성북구,1093,70,1267,80,855,61,794,60,990,75,797,60,703,61,776,69,856,62,531,38,524,47,541,51,479,40,298,24,482,31,436,33,404,33,687,41,261,20,301,27,178,14,501,32,389,19,287,26,701,47,912,58,788,59,324,50,431,30,401,29,1844,124,455,35,374,29,379,27,504,38,347,29,305,24,286,22,349,26,518,43,470,37,552,39,782,59,856,57,1217,91
"서울특별시",강북구,744,53,739,51,911,60,861,65,701,51,749,48,659,43,579,40,510,44,513,31,437,32,436,28,956,70,265,18,521,29,728,58,632,37,632,40,381,23,335,21,302,19,275,14,191,14,296,18,234,13,346,18,276,19,219,13,312,18,401,28,284,18,416,22,353,23,305,21,357,24,229,13,287,21,231,15,259,17,273,17,335,19,328,25,434,28,368,23,310,21
"서울특별시",도봉구,1230,78,1020,100,850,57,1069,58,1036,61,938,58,762,49,667,40,471,30,582,27,521,38,377,23,265,14,282,21,264,17,408,23,423,26,335,19,281,19,373,27,230,16,257,14,129,9,225,13,137,7,215,12,261,16,227,13,307,19,251,25,269,20,340,23,274,17,300,18,310,16,236,16,303,26,217,14,292,20,373,24,327,21,318,21,343,25,478,35,309,22
"서울특별시",노원구,1011,66,945,68,979,69,948,59,920,58,731,45,724,59,620,42,531,37,483,30,408,31,341,26,224,41,194,12,363,17,516,38,383,27,305,27,232,14,199,10,186,13,160,11,214,20,297,18,160,12,277,18,356,22,282,20,442,31,397,24,426,31,435,28,398,25,364,25,310,19,266,16,262,16,273,16,389,24,539,34,489,32,604,40,855,54,745,50,505,35
"서울특별시",은평구,1975,135,1245,83,1059,66,2360,159,1531,92,1476,80,1638,94,1069,64,992,61,986,64,1201,77,1095,64,925,52,668,42,573,34,656,48,923,71,802,65,554,43,492,27,592,34,389,23,355,24,494,32,491,25,525,40,708,39,896,62,536,35,786,53,1050,61,560,39,673,40,555,34,534,34,378,27,381,23,370,21,489,30,625,38,638,39,841,49,922,56,891,52,2269,158
"서울특별시",서대문구,522,43,550,39,609,45,634,62,535,44,632,50,507,37,567,39,591,35,566,49,457,33,514,36,247,21,225,18,294,20,398,25,411,28,314,56,236,19,404,16,216,13,196,15,151,10,427,30,327,14,289,18,314,17,230,15,290,25,316,21,838,48,654,45,363,24,237,18,239,22,274,19,396,26,237,17,454,27,731,49,384,27,632,42,902,67,780,54,409,35
"서울특별시",마포구,899,79,937,69,855,66,896,63,1030,97,1171,82,944,64,856,63,747,58,663,49,722,48,706,63,687,75,489,30,715,53,665,72,698,48,900,91,593,43,442,26,385,25,297,18,321,16,308,20,315,16,248,13,395,51,350,24,480,49,484,38,441,39,513,38,465,32,429,27,458,31,499,29,463,35,370,24,612,42,674,45,1147,91,620,51,1358,102,988,59,605,113
"서울특별시",양천구,1041,66,981,71,955,66,972,70,858,57,797,55,632,52,589,43,614,43,536,31,645,37,614,38,398,26,326,20,374,20,454,147,617,58,408,24,321,20,260,18,218,16,233,14,226,14,319,21,130,12,234,14,305,20,428,22,365,25,386,28,440,31,400,30,392,28,356,26,335,23,404,29,337,24,320,23,326,25,331,25,533,38,466,31,688,52,821,148,495,37
"서울특별시",강서구,1236,130,1540,97,1608,97,1742,96,1740,152,1859,214,1929,104,1429,717,2529,172,1433,78,1778,94,1660,141,1376,74,1112,63,1211,65,1319,77,1604,95,1249,68,941,48,985,50,589,76,415,22,433,24,582,34,377,20,398,20,586,40,526,30,684,33,638,36,757,43,695,40,808,54,654,39,679,124,1032,52,645,33,640,41,852,75,853,50,807,52,854,52,970,62,856,51,684,59
"서울특별시",구로구,1401,82,979,247,1038,285,1053,588,1097,83,1052,62,1236,78,1086,73,1114,63,732,84,742,52,792,53,859,65,611,45,626,43,902,57,764,61,616,36,973,64,428,27,338,23,457,24,282,16,661,35,215,14,327,36,477,31,473,31,508,36,386,34,447,27,425,35,471,29,543,38,581,35,428,31,436,35,432,37,946,71,598,40,617,43,574,40,608,42,696,48,408,26
"서울특별시",금천구,930,137,995,101,1028,100,1082,102,2034,157,959,114,1164,71,1501,106,1104,68,1352,84,1062,79,962,77,758,42,813,99,909,71,1031,103,1178,125,1313,113,968,68,631,79,747,92,367,51,380,26,374,26,350,19,701,38,528,40,536,35,551,40,296,25,536,35,968,74,456,43,645,45,737,48,851,52,1015,66,718,43,778,50,739,49,624,42,752,52,841,59,600,34,496,29
"서울특별시",영등포구,1209,88,1181,75,1003,73,834,105,1296,86,980,87,1337,89,1056,68,1198,94,1223,96,950,60,1299,95,830,64,893,56,615,49,716,38,867,48,894,53,460,35,349,148,691,50,558,34,803,79,780,95,367,20,441,26,704,49,606,40,877,58,1398,101,853,54,788,50,614,96,518,71,566,43,529,37,534,57,366,32,482,31,707,201,734,56,720,46,931,73,774,68,852,79
"서울특별시",동작구,1070,85,690,54,636,78,653,53,749,72,720,84,611,64,645,45,460,37,404,73,362,30,432,34,293,27,227,23,1494,105,420,36,467,36,451,28,341,30,575,47,275,29,563,37,206,17,252,25,344,24,203,14,339,25,285,25,322,24,322,30,353,41,368,26,413,28,530,37,607,33,325,22,541,31,367,28,358,28,581,43,504,59,981,52,912,69,626,51,567,62
"서울특별시",관악구,806,72,704,63,637,57,788,75,743,60,808,74,852,69,659,61,599,58,547,46,480,42,546,39,367,35,356,26,442,30,423,36,651,54,674,53,1113,88,353,45,263,27,212,17,343,32,197,16,182,44,298,18,270,20,322,22,289,27,705,61,307,22,593,41,386,32,609,31,776,52,571,41,428,28,280,18,327,21,386,30,429,40,397,41,573,43,449,46,351,29
"서울특별시",서초구,1367,106,1171,125,1542,182,2713,276,2485,240,870,88,1156,231,1430,156,903,109,651,87,654,62,710,64,849,109,634,54,597,68,792,81,991,105,907,138,551,93,988,97,446,42,256,25,476,49,504,35,386,16,315,30,381,42,518,38,536,44,486,45,688,65,548,47,475,40,440,67,1266,115,1245,105,972,79,457,35,691,64,581,61,785,73,1328,140,1046,87,809,68,1040,173
"서울특별시",강남구,4982,493,1632,264,2052,187,1112,164,1466,158,1610,193,1594,191,1324,140,1158,185,1157,131,1561,220,1100,164,769,131,1407,129,672,104,1124,117,1382,166,1034,179,922,140,699,65,930,97,397,40,661,112,1156,104,349,43,355,38,499,70,454,42,728,82,967,146,716,71,718,79,547,61,725,75,490,73,497,63,528,88,499,62,450,163,814,125,819,125,690,85,1349,187,1745,183,1233,143
"서울특별시",송파구,1628,110,1297,105,1856,104,2989,222,1671,134,2257,272,2310,171,1474,100,1076,73,1181,78,1507,87,1714,113,1005,63,885,54,885,60,933,81,864,60,727,52,731,40,456,32,357,33,444,36,326,34,456,30,226,19,731,56,607,46,536,43,668,133,587,42,586,44,627,59,721,51,534,168,429,32,550,47,921,56,522,39,594,66,741,53,975,79,795,67,1184,93,1082,94,811,62
"서울특별시",강동구,958,67,1697,144,1351,128,1608,146,1040,79,1064,99,754,58,917,126,1615,136,749,57,1254,100,806,67,623,42,567,32,552,34,521,44,1513,103,444,27,398,33,406,30,345,21,460,20,998,54,417,29,611,31,5472,298,2149,124,1641,80,6992,613,917,58,841,59,625,45,649,42,915,60,916,55,968,56,625,38,1257,99,544,32,1642,126,785,48,955,69,1260,86,705,47,884,52
