구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,46810,11823,15923,5532,12651,881,2022
중구,42401,5751,26366,1879,7572,833,2022
용산구,77116,13450,39805,3887,19309,665,2022
성동구,90740,9410,68125,2058,10177,970,2022
광진구,93555,14901,33862,4158,39240,1394,2022
동대문구,106441,16110,68445,3298,17090,1498,2022
중랑구,118357,17751,59121,4466,35535,1484,2022
성북구,142602,20892,83701,6146,30510,1353,2022
강북구,99477,17134,35997,4867,40483,996,2022
도봉구,109190,8381,65664,4229,30210,706,2022
노원구,192022,6519,166131,3487,15212,673,2022
은평구,160630,14469,67705,5831,71420,1205,2022
서대문구,105047,12239,57952,5457,28507,892,2022
마포구,127057,10720,74959,3080,36850,1448,2022
양천구,146886,7519,92705,3965,41885,812,2022
강서구,201611,9717,117945,4751,68125,1073,2022
구로구,137403,11182,86340,7518,31551,812,2022
금천구,72044,8507,33231,3929,25869,508,2022
영등포구,112068,13623,79110,1581,16644,1110,2022
동작구,120374,14058,65921,5157,34212,1026,2022
관악구,129778,20855,57133,6224,43684,1882,2022
서초구,132706,5187,92711,5287,28377,1144,2022
강남구,178493,6223,131599,5649,33469,1553,2022
송파구,220192,7657,135070,4766,71257,1442,2022
강동구,148323,9411,95721,3216,38934,1041,2022
