구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,43554,12991,12462,5410,11872,819,2016
중구,38311,6364,22923,1955,6333,736,2016
용산구,70868,15302,35310,3974,15653,629,2016
성동구,80977,11155,57548,2063,9172,1039,2016
광진구,82691,16566,30401,4293,30003,1428,2016
동대문구,96464,20325,57350,3411,13770,1608,2016
중랑구,102387,20430,50343,4850,25272,1492,2016
성북구,128502,25928,69981,6376,24748,1469,2016
강북구,93623,18870,32652,4915,36136,1050,2016
도봉구,104170,9237,64269,4354,25607,703,2016
노원구,189013,7990,162895,3541,13887,700,2016
은평구,142135,17678,50677,6696,65756,1328,2016
서대문구,92788,14981,44866,5727,26294,920,2016
마포구,118456,13685,65418,3604,34232,1517,2016
양천구,137651,9547,85474,4531,37225,874,2016
강서구,184422,11310,109403,5218,57345,1146,2016
구로구,120431,12311,75180,7471,24639,830,2016
금천구,58938,9606,27470,3949,17412,501,2016
영등포구,97089,16998,65390,1500,12112,1089,2016
동작구,111438,16283,58232,5368,30489,1066,2016
관악구,123911,22636,54551,6479,38369,1876,2016
서초구,129491,6696,92424,5686,23389,1296,2016
강남구,176135,7470,130924,6186,29789,1766,2016
송파구,191349,9875,113627,4909,61297,1641,2016
강동구,116063,11035,71613,3640,28645,1130,2016
