구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,47025,11620,16300,5544,12695,866,2023
중구,44191,5735,28126,1873,7625,832,2023
용산구,77734,13370,39806,3921,19978,659,2023
성동구,91252,9345,68191,2017,10735,964,2023
광진구,95286,14861,35072,4173,39797,1383,2023
동대문구,110169,16085,71810,3301,17465,1508,2023
중랑구,119961,17698,59984,4465,36336,1478,2023
성북구,143240,20848,83728,6362,30957,1345,2023
강북구,100418,17068,36541,4903,40911,995,2023
도봉구,109465,8290,65690,4250,30536,699,2023
노원구,192926,6356,167100,3530,15272,668,2023
은평구,165462,14350,72002,5826,72085,1199,2023
서대문구,106640,12188,59417,5460,28686,889,2023
마포구,129421,10626,77146,3026,37175,1448,2023
양천구,147619,7517,93107,3968,42222,805,2023
강서구,203887,9651,119305,4814,69041,1076,2023
구로구,137863,11083,86368,7631,31973,808,2023
금천구,72901,8486,33513,4005,26393,504,2023
영등포구,114173,13593,80513,1760,17198,1109,2023
동작구,122058,13829,67675,5061,34474,1019,2023
관악구,130244,20630,57467,6196,44071,1880,2023
서초구,136528,5161,96291,5301,28630,1145,2023
강남구,184608,6161,138025,5645,33229,1548,2023
송파구,221082,7621,135448,4754,71827,1432,2023
강동구,151178,9410,97890,3252,39584,1042,2023
