년도,구,동(호)수,면적 (천㎡)
2017,강남구,17974,2312
2017,강동구,24013,1933
2017,강북구,8734,693
2017,강서구,37408,2127
2017,관악구,11823,1092
2017,광진구,10769,869
2017,구로구,15236,1121
2017,금천구,13078,1158
2017,노원구,16005,1112
2017,도봉구,9659,734
2017,동대문구,12117,1038
2017,동작구,12247,1058
2017,마포구,15127,1108
2017,서대문구,12210,926
2017,서초구,15410,1783
2017,성동구,12273,1145
2017,성북구,14143,1092
2017,송파구,32635,2502
2017,양천구,11744,886
2017,영등포구,16551,1419
2017,용산구,10642,953
2017,은평구,20197,1353
2017,종로구,6382,640
2017,중구,6796,770
2017,중랑구,10947,919
