년도,구,동(호)수,면적 (천㎡)
2016,강남구,18080,2405
2016,강동구,16304,1359
2016,강북구,8937,711
2016,강서구,31125,1969
2016,관악구,12290,1138
2016,광진구,8954,1066
2016,구로구,14574,1157
2016,금천구,11184,1399
2016,노원구,17196,1245
2016,도봉구,10321,771
2016,동대문구,13085,1250
2016,동작구,12731,1143
2016,마포구,17943,1443
2016,서대문구,11821,1072
2016,서초구,14641,1653
2016,성동구,11693,1109
2016,성북구,14195,1163
2016,송파구,25886,2198
2016,양천구,15327,1278
2016,영등포구,14864,1512
2016,용산구,8346,869
2016,은평구,20378,1414
2016,종로구,5310,529
2016,중구,7515,1041
2016,중랑구,11982,1057
