구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,43550,13103,12552,5395,11664,836,2015
중구,37478,6436,22186,1975,6148,733,2015
용산구,70723,15503,35343,4029,15206,642,2015
성동구,82331,11250,59331,2076,8610,1064,2015
광진구,79393,17034,29880,4434,26561,1484,2015
동대문구,98203,20799,59534,3740,12529,1601,2015
중랑구,99265,21155,50078,4943,21543,1546,2015
성북구,128046,27180,69725,6518,23097,1526,2015
강북구,91806,19393,32651,4854,33820,1088,2015
도봉구,102443,9404,64082,4242,24014,701,2015
노원구,186626,8143,160725,3536,13471,751,2015
은평구,140330,18582,50419,6886,63059,1384,2015
서대문구,92885,15568,45340,5762,25250,965,2015
마포구,116135,14302,63071,3683,33508,1571,2015
양천구,134097,9907,83827,4459,34948,956,2015
강서구,179045,11671,107304,5306,53569,1195,2015
구로구,118047,12469,74594,7362,22783,839,2015
금천구,57096,9776,27342,3937,15549,492,2015
영등포구,96195,17306,65088,1562,11112,1127,2015
동작구,109362,17113,56969,5475,28726,1079,2015
관악구,121277,23159,53262,6489,36436,1931,2015
서초구,125403,6773,90084,5722,21474,1350,2015
강남구,176654,7437,133127,6106,28122,1862,2015
송파구,187030,10231,111685,5040,58287,1787,2015
강동구,119824,11345,78697,3704,24886,1192,2015
