구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,45787,12920,14507,5451,11978,931,2017
중구,39512,6308,23874,1948,6491,891,2017
용산구,71356,14993,35648,3985,15988,742,2017
성동구,86650,11044,62985,2055,9470,1096,2017
광진구,84316,16297,30301,4249,31970,1499,2017
동대문구,97891,19954,58161,3251,14866,1659,2017
중랑구,103740,19669,51031,4578,26949,1513,2017
성북구,130766,25457,71571,6321,25902,1515,2017
강북구,94526,18369,33458,4882,36743,1074,2017
도봉구,104752,9014,64352,4235,26422,729,2017
노원구,187025,7081,161701,3508,14025,710,2017
은평구,143727,16416,52000,6595,67371,1345,2017
서대문구,94398,13939,47445,5630,26418,966,2017
마포구,118355,12607,66349,3464,34356,1579,2017
양천구,137056,8370,85758,4265,37784,879,2017
강서구,188176,10895,111037,5134,59950,1160,2017
구로구,121684,12008,75540,7405,25884,847,2017
금천구,62314,9410,29385,3923,19056,540,2017
영등포구,99225,15401,68204,1500,12928,1192,2017
동작구,111548,15626,58320,5236,31283,1083,2017
관악구,124170,22196,53548,6498,40024,1904,2017
서초구,128977,6491,91064,5647,24436,1339,2017
강남구,173282,7334,127206,6149,30806,1787,2017
송파구,196672,9322,117214,4892,63581,1663,2017
강동구,120940,10742,75263,3551,30251,1133,2017
