구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,46859,12259,15688,5460,12540,912,2020
중구,42234,5967,26102,1944,7352,869,2020
용산구,74542,14064,37676,3969,18124,709,2020
성동구,91329,10525,67584,1990,10158,1072,2020
광진구,89832,15332,32135,4054,36858,1453,2020
동대문구,103520,17120,65033,3274,16511,1582,2020
중랑구,112364,18560,55499,4466,32303,1536,2020
성북구,138621,22520,79206,6262,29213,1420,2020
강북구,97452,17557,34733,4789,39331,1042,2020
도봉구,107156,8634,65032,4144,28620,726,2020
노원구,189213,6619,163502,3448,14948,696,2020
은평구,150658,14937,59438,5830,69210,1243,2020
서대문구,101036,12600,54132,5461,27910,933,2020
마포구,122311,11618,70307,3142,35643,1601,2020
양천구,143769,7698,90788,4042,40382,859,2020
강서구,195383,10260,113767,4794,65426,1136,2020
구로구,133012,11474,83459,7388,29852,839,2020
금천구,68804,8807,31689,3914,23859,535,2020
영등포구,107366,14276,74957,1487,15474,1172,2020
동작구,115615,14522,61606,5289,33103,1095,2020
관악구,127568,21249,55417,6218,42770,1914,2020
서초구,133528,5481,94499,5356,26931,1261,2020
강남구,173745,6968,126023,5827,33190,1737,2020
송파구,211578,8072,127239,4900,69796,1571,2020
강동구,137876,9956,87159,3114,36562,1085,2020
