구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,45729,12699,14530,5428,12140,932,2018
중구,40177,6209,24417,1944,6719,888,2018
용산구,71680,14792,35728,3996,16416,748,2018
성동구,87830,10944,63976,2032,9785,1093,2018
광진구,85638,16002,30425,4152,33565,1494,2018
동대문구,100802,19484,60386,3181,16093,1658,2018
중랑구,105691,19208,51475,4451,29040,1517,2018
성북구,129994,24207,71754,6097,26446,1490,2018
강북구,95097,18185,33282,4881,37671,1078,2018
도봉구,105526,8903,64580,4176,27138,729,2018
노원구,186533,6783,161273,3467,14312,698,2018
은평구,144611,16000,52607,6297,68390,1317,2018
서대문구,94884,13378,48277,5486,26783,960,2018
마포구,118619,12225,66582,3227,35003,1582,2018
양천구,137850,7990,85921,4225,38855,859,2018
강서구,190525,10697,111811,4966,61900,1151,2018
구로구,124569,11827,77194,7392,27310,846,2018
금천구,65244,9217,30918,3872,20696,541,2018
영등포구,99971,14644,68984,1486,13674,1183,2018
동작구,112032,14889,59188,5152,31713,1090,2018
관악구,125148,21584,53915,6442,41274,1933,2018
서초구,132040,6395,93299,5592,25426,1328,2018
강남구,171431,7283,124418,6121,31817,1792,2018
송파구,199739,8441,119226,4797,65656,1619,2018
강동구,122718,10467,75473,3512,32149,1117,2018
