년도,구,동(호)수,면적 (천㎡)
2015,강남구,19083,2166
2015,강동구,15566,1321
2015,강북구,9478,943
2015,강서구,27834,1859
2015,관악구,12835,1478
2015,광진구,9293,910
2015,구로구,14887,1145
2015,금천구,10709,1187
2015,노원구,16785,1146
2015,도봉구,10661,849
2015,동대문구,13019,1996
2015,동작구,12429,1460
2015,마포구,17254,1506
2015,서대문구,11912,991
2015,서초구,14388,1899
2015,성동구,11797,1090
2015,성북구,14754,1208
2015,송파구,18452,1598
2015,양천구,14355,1127
2015,영등포구,15375,1666
2015,용산구,7634,720
2015,은평구,19994,1394
2015,종로구,5190,631
2015,중구,7677,2365
2015,중랑구,12283,1064
