년도,구,동(호)수,면적 (천㎡)
2018,강남구,20196,2430
2018,강동구,16138,1250
2018,강북구,7600,601
2018,강서구,23418,1465
2018,관악구,10675,952
2018,광진구,9323,778
2018,구로구,15113,1466
2018,금천구,16204,1498
2018,노원구,14387,1072
2018,도봉구,8510,599
2018,동대문구,15211,1164
2018,동작구,12318,980
2018,마포구,16916,1189
2018,서대문구,10951,820
2018,서초구,14879,1663
2018,성동구,9723,863
2018,성북구,15294,1194
2018,송파구,24589,4615
2018,양천구,12261,1046
2018,영등포구,19874,1705
2018,용산구,10935,948
2018,은평구,20536,1395
2018,종로구,4985,787
2018,중구,7068,878
2018,중랑구,10504,887
