"소재지(시군구)별(1)",소재지(시군구)별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"소재지(시군구)별(1)",소재지(시군구)별(2),계,계,기존시가지의 정비,기존시가지의 정비,기존시가지의 관리,기존시가지의 관리,기존시가지의 보전,기존시가지의 보전,신시가지의 개발,신시가지의 개발,복합용도개발,복합용도개발,유휴토지 및 이전적지개발,유휴토지 및 이전적지개발,비시가지 관리개발,비시가지 관리개발,용도지구대체,용도지구대체,복합구역,복합구역,주거형,주거형,산업유통형,산업유통형,관광휴양형,관광휴양형,특정,특정,복합형,복합형,용도지구대체형 ,용도지구대체형 
"소재지(시군구)별(1)",소재지(시군구)별(2),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡),구역수 (개),면적 (㎡)
"서울특별시",강동구,11,6603928,0,0,8,4863792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1740136,0,0,0,0,0,0,0,0,0,0
"부산광역시",소계,588,120502463,342,30583542,182,32639414,1,1250980,60,55949683,-,-,-,-,-,-,-,-,-,-,3,78844,-,-,-,-,-,-,-,-,-,-
"부산광역시",중구,1,40055,1,40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",서구,38,1343651,37,1086021,1,257630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",동구,2,1587578,1,336598,0,0,1,1250980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",영도구,14,2139570,10,1438701,0,0,0,0,2,666615,0,0,0,0,0,0,0,0,0,0,2,34254,0,0,0,0,0,0,0,0,0,0
"부산광역시",부산진구,52,4098124,52,4098124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",동래구,32,2348322,31,2179244,0,0,0,0,1,169078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",남구,39,3728823,36,3326920,0,0,0,0,3,401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",북구,35,5066098,33,4982291,1,39217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44590,0,0,0,0,0,0,0,0,0,0
"부산광역시",해운대구,50,8188853,38,2989931,7,708732,0,0,5,4490190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",사하구,33,2705108,32,2481443,0,0,0,0,1,223665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",금정구,30,4107208,16,2557467,13,1525736,0,0,1,24005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",강서구,69,54996819,0,0,48,20544810,0,0,21,34452009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",연제구,21,2108176,19,1581612,2,526564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",수영구,19,1499178,15,1000254,3,448974,0,0,1,49950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",사상구,18,2192234,18,2192234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산광역시",기장군,135,24352666,3,292647,107,8587751,0,0,25,15472268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",소계,510,82535193,92,7878917,231,14112340,127,6780423,48,51123292,2,530852,5,749492,-,-,-,-,1,976694,-,-,2,132383,2,250800,-,-,-,-,-,-
"대구광역시",중구,37,962723,27,710385,10,252338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",동구,94,14232386,14,915494,35,2546848,35,2603023,7,7964568,1,167092,2,35361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",서구,19,5069521,9,4536423,10,533098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",남구,30,917430,0,0,30,917430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",북구,44,12736931,9,334688,15,1342281,7,238389,11,10122045,0,0,2,699528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",수성구,104,8280655,10,725573,69,1758120,17,744156,6,4061509,0,0,1,14603,0,0,0,0,1,976694,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",달서구,66,16637256,8,366019,41,5982833,3,202188,13,9722456,1,363760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"대구광역시",달성군,116,23698291,15,290335,21,779392,65,2992667,11,19252714,0,0,0,0,0,0,0,0,0,0,0,0,2,132383,2,250800,0,0,0,0,0,0
"인천광역시",소계,358,210718125,201,38891009,19,19791899,3,651720,74,137073808,1,56256,6,2172017,13,666237,-,-,9,3379783,5,504520,3,3859520,8,2555229,16,1116127,-,-,-,-
"인천광역시",중구,21,48977394,16,9517158,0,0,0,0,3,39297236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99708,1,63292,0,0,0,0
"인천광역시",동구,23,1821855,23,1821855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"인천광역시",미추홀구,62,8496272,48,3092612,0,0,0,0,0,0,0,0,6,2172017,0,0,0,0,8,3231643,0,0,0,0,0,0,0,0,0,0,0,0
