월,구,수급등급
01,종로구,91.0
02,종로구,88.3
03,종로구,91.7
04,종로구,93.4
05,종로구,92.9
06,종로구,91.4
07,종로구,87.6
08,종로구,85.1
09,종로구,81.4
10,종로구,78.3
11,종로구,75.5
12,종로구,72.7
01,중구,91.0
02,중구,88.3
03,중구,91.7
04,중구,93.4
05,중구,92.9
06,중구,91.4
07,중구,87.6
08,중구,85.1
09,중구,81.4
10,중구,78.3
11,중구,75.5
12,중구,72.7
01,용산구,91.0
02,용산구,88.3
03,용산구,91.7
04,용산구,93.4
05,용산구,92.9
06,용산구,91.4
07,용산구,87.6
08,용산구,85.1
09,용산구,81.4
10,용산구,78.3
11,용산구,75.5
12,용산구,72.7
01,성동구,90.0
02,성동구,88.3
03,성동구,90.0
04,성동구,91.0
05,성동구,89.9
06,성동구,86.4
07,성동구,83.1
08,성동구,80.5
09,성동구,77.3
10,성동구,74.3
11,성동구,71.0
12,성동구,68.6
01,광진구,90.0
02,광진구,88.3
03,광진구,90.0
04,광진구,91.0
05,광진구,89.9
06,광진구,86.4
07,광진구,83.1
08,광진구,80.5
09,광진구,77.3
10,광진구,74.3
11,광진구,71.0
12,광진구,68.6
01,동대문구,90.0
02,동대문구,88.3
03,동대문구,90.0
04,동대문구,91.0
05,동대문구,89.9
06,동대문구,86.4
07,동대문구,83.1
08,동대문구,80.5
09,동대문구,77.3
10,동대문구,74.3
11,동대문구,71.0
12,동대문구,68.6
01,중랑구,90.0
02,중랑구,88.3
03,중랑구,90.0
04,중랑구,91.0
05,중랑구,89.9
06,중랑구,86.4
07,중랑구,83.1
08,중랑구,80.5
09,중랑구,77.3
10,중랑구,74.3
11,중랑구,71.0
12,중랑구,68.6
01,성북구,90.0
02,성북구,88.3
03,성북구,90.0
04,성북구,91.0
05,성북구,89.9
06,성북구,86.4
07,성북구,83.1
08,성북구,80.5
09,성북구,77.3
10,성북구,74.3
11,성북구,71.0
12,성북구,68.6
01,강북구,90.0
02,강북구,88.3
03,강북구,90.0
04,강북구,91.0
05,강북구,89.9
06,강북구,86.4
07,강북구,83.1
08,강북구,80.5
09,강북구,77.3
10,강북구,74.3
11,강북구,71.0
12,강북구,68.6
01,도봉구,90.0
02,도봉구,88.3
03,도봉구,90.0
04,도봉구,91.0
05,도봉구,89.9
06,도봉구,86.4
07,도봉구,83.1
08,도봉구,80.5
09,도봉구,77.3
10,도봉구,74.3
11,도봉구,71.0
12,도봉구,68.6
01,노원구,90.0
02,노원구,88.3
03,노원구,90.0
04,노원구,91.0
05,노원구,89.9
06,노원구,86.4
07,노원구,83.1
08,노원구,80.5
09,노원구,77.3
10,노원구,74.3
11,노원구,71.0
12,노원구,68.6
