구,원자료,전기대비증감률
강남구,84.33916666666666,0.45166666666666666
강동구,84.55916666666667,0.3625
강북구,88.26166666666667,0.12166666666666666
강서구,88.11416666666668,0.31333333333333335
관악구,89.53666666666668,0.23750000000000002
광진구,87.37083333333334,0.29583333333333334
구로구,87.90166666666666,0.24666666666666667
금천구,90.16250000000001,0.24333333333333332
노원구,85.77166666666666,0.26166666666666666
도봉구,88.01916666666666,0.1725
동대문구,86.73583333333333,0.2091666666666667
동작구,84.69500000000001,0.33166666666666667
마포구,82.55499999999999,0.3233333333333333
서대문구,88.33583333333333,0.22916666666666666
서초구,85.74333333333334,0.325
성동구,84.49166666666666,0.38999999999999996
성북구,86.35833333333333,0.20333333333333334
송파구,83.59333333333333,0.4883333333333333
양천구,85.855,0.385
영등포구,83.8225,0.3941666666666667
용산구,84.28833333333334,0.31083333333333335
은평구,89.23916666666666,0.2041666666666667
종로구,88.79666666666667,0.23666666666666666
중구,86.13083333333333,0.285
중랑구,89.27166666666666,0.1525
