월,구,수급등급
01,종로구,89.4
02,종로구,74.1
03,종로구,74.2
04,종로구,75.0
05,종로구,76.3
06,종로구,79.6
07,종로구,78.4
08,종로구,86.0
09,종로구,88.2
10,종로구,91.3
11,종로구,96.5
12,종로구,109.0
01,중구,89.4
02,중구,74.1
03,중구,74.2
04,중구,75.0
05,중구,76.3
06,중구,79.6
07,중구,78.4
08,중구,86.0
09,중구,88.2
10,중구,91.3
11,중구,96.5
12,중구,109.0
01,용산구,89.4
02,용산구,74.1
03,용산구,74.2
04,용산구,75.0
05,용산구,76.3
06,용산구,79.6
07,용산구,78.4
08,용산구,86.0
09,용산구,88.2
10,용산구,91.3
11,용산구,96.5
12,용산구,109.0
01,성동구,89.9
02,성동구,89.0
03,성동구,88.2
04,성동구,87.8
05,성동구,88.7
06,성동구,87.6
07,성동구,94.3
08,성동구,98.0
09,성동구,100.5
10,성동구,105.4
11,성동구,106.3
12,성동구,111.4
01,광진구,89.9
02,광진구,89.0
03,광진구,88.2
04,광진구,87.8
05,광진구,88.7
06,광진구,87.6
07,광진구,94.3
08,광진구,98.0
09,광진구,100.5
10,광진구,105.4
11,광진구,106.3
12,광진구,111.4
01,동대문구,89.9
02,동대문구,89.0
03,동대문구,88.2
04,동대문구,87.8
05,동대문구,88.7
06,동대문구,87.6
07,동대문구,94.3
08,동대문구,98.0
09,동대문구,100.5
10,동대문구,105.4
11,동대문구,106.3
12,동대문구,111.4
01,중랑구,89.9
02,중랑구,89.0
03,중랑구,88.2
04,중랑구,87.8
05,중랑구,88.7
06,중랑구,87.6
07,중랑구,94.3
08,중랑구,98.0
09,중랑구,100.5
10,중랑구,105.4
11,중랑구,106.3
12,중랑구,111.4
01,성북구,89.9
02,성북구,89.0
03,성북구,88.2
04,성북구,87.8
05,성북구,88.7
06,성북구,87.6
07,성북구,94.3
08,성북구,98.0
09,성북구,100.5
10,성북구,105.4
11,성북구,106.3
12,성북구,111.4
01,강북구,89.9
02,강북구,89.0
03,강북구,88.2
04,강북구,87.8
05,강북구,88.7
06,강북구,87.6
07,강북구,94.3
08,강북구,98.0
09,강북구,100.5
10,강북구,105.4
11,강북구,106.3
12,강북구,111.4
01,도봉구,89.9
02,도봉구,89.0
03,도봉구,88.2
04,도봉구,87.8
05,도봉구,88.7
06,도봉구,87.6
07,도봉구,94.3
08,도봉구,98.0
09,도봉구,100.5
10,도봉구,105.4
11,도봉구,106.3
12,도봉구,111.4
