월,구,수급등급
01,종로구,93.0
02,종로구,93.0
03,종로구,93.5
04,종로구,99.0
05,종로구,99.1
06,종로구,109.4
07,종로구,112.0
08,종로구,106.1
09,종로구,99.2
10,종로구,94.9
11,종로구,93.5
12,종로구,104.9
01,중구,93.0
02,중구,93.0
03,중구,93.5
04,중구,99.0
05,중구,99.1
06,중구,109.4
07,중구,112.0
08,중구,106.1
09,중구,99.2
10,중구,94.9
11,중구,93.5
12,중구,104.9
01,용산구,93.0
02,용산구,93.0
03,용산구,93.5
04,용산구,99.0
05,용산구,99.1
06,용산구,109.4
07,용산구,112.0
08,용산구,106.1
09,용산구,99.2
10,용산구,94.9
11,용산구,93.5
12,용산구,104.9
01,성동구,96.3
02,성동구,95.9
03,성동구,96.1
04,성동구,95.8
05,성동구,96.3
06,성동구,99.1
07,성동구,101.8
08,성동구,97.2
09,성동구,96.1
10,성동구,95.0
11,성동구,94.6
12,성동구,92.7
01,광진구,96.3
02,광진구,95.9
03,광진구,96.1
04,광진구,95.8
05,광진구,96.3
06,광진구,99.1
07,광진구,101.8
08,광진구,97.2
09,광진구,96.1
10,광진구,95.0
11,광진구,94.6
12,광진구,92.7
01,동대문구,96.3
02,동대문구,95.9
03,동대문구,96.1
04,동대문구,95.8
05,동대문구,96.3
06,동대문구,99.1
07,동대문구,101.8
08,동대문구,97.2
09,동대문구,96.1
10,동대문구,95.0
11,동대문구,94.6
12,동대문구,92.7
01,중랑구,96.3
02,중랑구,95.9
03,중랑구,96.1
04,중랑구,95.8
05,중랑구,96.3
06,중랑구,99.1
07,중랑구,101.8
08,중랑구,97.2
09,중랑구,96.1
10,중랑구,95.0
11,중랑구,94.6
12,중랑구,92.7
01,성북구,96.3
02,성북구,95.9
03,성북구,96.1
04,성북구,95.8
05,성북구,96.3
06,성북구,99.1
07,성북구,101.8
08,성북구,97.2
09,성북구,96.1
10,성북구,95.0
11,성북구,94.6
12,성북구,92.7
01,강북구,96.3
02,강북구,95.9
03,강북구,96.1
04,강북구,95.8
05,강북구,96.3
06,강북구,99.1
07,강북구,101.8
08,강북구,97.2
09,강북구,96.1
10,강북구,95.0
11,강북구,94.6
12,강북구,92.7
01,도봉구,96.3
02,도봉구,95.9
03,도봉구,96.1
04,도봉구,95.8
05,도봉구,96.3
06,도봉구,99.1
07,도봉구,101.8
08,도봉구,97.2
09,도봉구,96.1
10,도봉구,95.0
11,도봉구,94.6
12,도봉구,92.7
01,노원구,96.3
02,노원구,95.9
03,노원구,96.1
04,노원구,95.8
05,노원구,96.3
06,노원구,99.1
07,노원구,101.8
08,노원구,97.2
09,노원구,96.1
10,노원구,95.0
11,노원구,94.6
12,노원구,92.7
01,은평구,89.6
02,은평구,91.9
03,은평구,94.8
04,은평구,97.6
05,은평구,98.1
06,은평구,105.2
07,은평구,103.0
08,은평구,97.9
09,은평구,96.5
10,은평구,96.8
11,은평구,97.5
12,은평구,94.8
01,서대문구,89.6
02,서대문구,91.9
03,서대문구,94.8
04,서대문구,97.6
05,서대문구,98.1
06,서대문구,105.2
07,서대문구,103.0
08,서대문구,97.9
09,서대문구,96.5
10,서대문구,96.8
11,서대문구,97.5
12,서대문구,94.8
01,마포구,89.6
02,마포구,91.9
03,마포구,94.8
04,마포구,97.6
05,마포구,98.1
06,마포구,105.2
07,마포구,103.0
08,마포구,97.9
09,마포구,96.5
10,마포구,96.8
11,마포구,97.5
12,마포구,94.8
01,양천구,107.2
02,양천구,107.1
03,양천구,106.1
04,양천구,102.2
05,양천구,107.6
06,양천구,111.1
07,양천구,107.1
08,양천구,101.9
09,양천구,102.5
10,양천구,102.4
11,양천구,102.6
12,양천구,102.7
01,강서구,107.2
02,강서구,107.1
03,강서구,106.1
04,강서구,102.2
05,강서구,107.6
06,강서구,111.1
07,강서구,107.1
08,강서구,101.9
09,강서구,102.5
10,강서구,102.4
11,강서구,102.6
12,강서구,102.7
01,구로구,107.2
02,구로구,107.1
03,구로구,106.1
04,구로구,102.2
05,구로구,107.6
06,구로구,111.1
07,구로구,107.1
08,구로구,101.9
09,구로구,102.5
10,구로구,102.4
11,구로구,102.6
12,구로구,102.7
01,금천구,107.2
02,금천구,107.1
03,금천구,106.1
04,금천구,102.2
05,금천구,107.6
06,금천구,111.1
07,금천구,107.1
08,금천구,101.9
09,금천구,102.5
10,금천구,102.4
11,금천구,102.6
12,금천구,102.7
01,영등포구,107.2
02,영등포구,107.1
03,영등포구,106.1
04,영등포구,102.2
05,영등포구,107.6
06,영등포구,111.1
07,영등포구,107.1
08,영등포구,101.9
09,영등포구,102.5
10,영등포구,102.4
11,영등포구,102.6
12,영등포구,102.7
01,동작구,107.2
02,동작구,107.1
03,동작구,106.1
04,동작구,102.2
05,동작구,107.6
06,동작구,111.1
07,동작구,107.1
08,동작구,101.9
09,동작구,102.5
10,동작구,102.4
11,동작구,102.6
12,동작구,102.7
01,관악구,107.2
02,관악구,107.1
03,관악구,106.1
04,관악구,102.2
05,관악구,107.6
06,관악구,111.1
07,관악구,107.1
08,관악구,101.9
09,관악구,102.5
10,관악구,102.4
11,관악구,102.6
12,관악구,102.7
01,서초구,100.9
02,서초구,100.1
03,서초구,102.3
04,서초구,98.5
05,서초구,103.9
06,서초구,107.3
07,서초구,112.6
08,서초구,107.9
09,서초구,101.3
10,서초구,104.4
11,서초구,107.4
12,서초구,116.7
01,강남구,100.9
02,강남구,100.1
03,강남구,102.3
04,강남구,98.5
05,강남구,103.9
06,강남구,107.3
07,강남구,112.6
08,강남구,107.9
09,강남구,101.3
10,강남구,104.4
11,강남구,107.4
12,강남구,116.7
01,송파구,100.9
02,송파구,100.1
03,송파구,102.3
04,송파구,98.5
05,송파구,103.9
06,송파구,107.3
07,송파구,112.6
08,송파구,107.9
09,송파구,101.3
10,송파구,104.4
11,송파구,107.4
12,송파구,116.7
01,강동구,100.9
02,강동구,100.1
03,강동구,102.3
04,강동구,98.5
05,강동구,103.9
06,강동구,107.3
07,강동구,112.6
08,강동구,107.9
09,강동구,101.3
10,강동구,104.4
11,강동구,107.4
12,강동구,116.7
