구,원자료,전기대비증감률
강남구,104.62583333333333,-0.3125
강동구,102.97166666666668,-0.3941666666666667
강북구,101.79083333333334,-0.2866666666666667
강서구,102.31083333333333,-0.37749999999999995
관악구,102.0,-0.32666666666666666
광진구,101.70916666666666,-0.15416666666666667
구로구,102.375,-0.3358333333333334
금천구,101.85083333333334,-0.3325
노원구,102.90333333333332,-0.9683333333333334
도봉구,102.57333333333334,-0.685
동대문구,101.90083333333332,-0.39749999999999996
동작구,103.44666666666666,-0.29
마포구,102.52166666666666,-0.37833333333333335
서대문구,101.45416666666667,-0.4175
서초구,105.26583333333333,-0.16333333333333333
성동구,101.69083333333333,-0.2575
성북구,101.89,-0.5591666666666667
송파구,104.0675,-0.5208333333333334
양천구,102.26583333333333,-0.3
영등포구,102.24416666666667,-0.4025
용산구,103.78166666666665,-0.2041666666666667
은평구,102.45166666666667,-0.43
종로구,102.31666666666666,-0.2141666666666667
중구,101.54166666666667,-0.4791666666666667
중랑구,102.3975,-0.3433333333333333
