구,원자료,전기대비증감률
강남구,80.40416666666667,0.3675
강동구,81.71666666666667,0.17583333333333337
강북구,87.19,0.09999999999999999
강서구,84.8175,0.24666666666666667
관악구,87.17083333333333,0.18500000000000003
광진구,85.52416666666666,0.105
구로구,85.56666666666666,0.16833333333333333
금천구,88.08,0.12416666666666666
노원구,82.9525,0.21416666666666664
도봉구,86.47333333333334,0.12583333333333332
동대문구,84.94166666666666,0.1275
동작구,82.12166666666667,0.17916666666666667
마포구,79.92583333333333,0.1875
서대문구,86.175,0.1675
서초구,83.06083333333333,0.23583333333333334
성동구,82.12916666666666,0.13416666666666668
성북구,84.665,0.14083333333333334
송파구,81.16333333333334,0.11333333333333334
양천구,83.03083333333333,0.20833333333333334
영등포구,80.87416666666667,0.19499999999999998
용산구,81.71333333333332,0.17333333333333334
은평구,87.27333333333333,0.13999999999999999
종로구,86.87416666666667,0.12333333333333334
중구,84.155,0.12333333333333334
중랑구,88.0625,0.08666666666666667
