월,구,수급등급
01,종로구,117.2
02,종로구,118.5
03,종로구,112.0
04,종로구,108.9
05,종로구,111.6
06,종로구,118.1
07,종로구,112.4
08,종로구,116.1
09,종로구,118.9
10,종로구,107.0
11,종로구,103.3
12,종로구,94.1
01,중구,117.2
02,중구,118.5
03,중구,112.0
04,중구,108.9
05,중구,111.6
06,중구,118.1
07,중구,112.4
08,중구,116.1
09,중구,118.9
10,중구,107.0
11,중구,103.3
12,중구,94.1
01,용산구,117.2
02,용산구,118.5
03,용산구,112.0
04,용산구,108.9
05,용산구,111.6
06,용산구,118.1
07,용산구,112.4
08,용산구,116.1
09,용산구,118.9
10,용산구,107.0
11,용산구,103.3
12,용산구,94.1
01,성동구,122.3
02,성동구,123.3
03,성동구,119.1
04,성동구,112.2
05,성동구,113.0
06,성동구,122.6
07,성동구,126.4
08,성동구,128.5
09,성동구,122.6
10,성동구,107.7
11,성동구,98.9
12,성동구,94.2
01,광진구,122.3
02,광진구,123.3
03,광진구,119.1
04,광진구,112.2
05,광진구,113.0
06,광진구,122.6
07,광진구,126.4
08,광진구,128.5
09,광진구,122.6
10,광진구,107.7
11,광진구,98.9
12,광진구,94.2
01,동대문구,122.3
02,동대문구,123.3
03,동대문구,119.1
04,동대문구,112.2
05,동대문구,113.0
06,동대문구,122.6
07,동대문구,126.4
08,동대문구,128.5
09,동대문구,122.6
10,동대문구,107.7
11,동대문구,98.9
12,동대문구,94.2
01,중랑구,122.3
02,중랑구,123.3
03,중랑구,119.1
04,중랑구,112.2
05,중랑구,113.0
06,중랑구,122.6
07,중랑구,126.4
08,중랑구,128.5
09,중랑구,122.6
10,중랑구,107.7
11,중랑구,98.9
12,중랑구,94.2
01,성북구,122.3
02,성북구,123.3
03,성북구,119.1
04,성북구,112.2
05,성북구,113.0
06,성북구,122.6
07,성북구,126.4
08,성북구,128.5
09,성북구,122.6
10,성북구,107.7
11,성북구,98.9
12,성북구,94.2
01,강북구,122.3
02,강북구,123.3
03,강북구,119.1
04,강북구,112.2
05,강북구,113.0
06,강북구,122.6
07,강북구,126.4
08,강북구,128.5
09,강북구,122.6
10,강북구,107.7
11,강북구,98.9
12,강북구,94.2
01,도봉구,122.3
02,도봉구,123.3
03,도봉구,119.1
04,도봉구,112.2
05,도봉구,113.0
06,도봉구,122.6
07,도봉구,126.4
08,도봉구,128.5
09,도봉구,122.6
10,도봉구,107.7
11,도봉구,98.9
12,도봉구,94.2
01,노원구,122.3
02,노원구,123.3
03,노원구,119.1
04,노원구,112.2
05,노원구,113.0
06,노원구,122.6
07,노원구,126.4
08,노원구,128.5
09,노원구,122.6
10,노원구,107.7
11,노원구,98.9
12,노원구,94.2
01,은평구,110.7
02,은평구,110.2
03,은평구,103.0
04,은평구,99.9
05,은평구,100.9
06,은평구,102.3
07,은평구,106.8
08,은평구,112.9
09,은평구,114.3
10,은평구,102.6
11,은평구,97.0
12,은평구,93.1
01,서대문구,110.7
02,서대문구,110.2
03,서대문구,103.0
04,서대문구,99.9
05,서대문구,100.9
06,서대문구,102.3
07,서대문구,106.8
08,서대문구,112.9
09,서대문구,114.3
10,서대문구,102.6
11,서대문구,97.0
12,서대문구,93.1
01,마포구,110.7
02,마포구,110.2
03,마포구,103.0
04,마포구,99.9
05,마포구,100.9
06,마포구,102.3
07,마포구,106.8
08,마포구,112.9
09,마포구,114.3
10,마포구,102.6
11,마포구,97.0
12,마포구,93.1
01,양천구,114.3
02,양천구,115.2
03,양천구,112.4
04,양천구,109.1
05,양천구,109.3
06,양천구,114.4
07,양천구,118.6
08,양천구,122.1
09,양천구,119.9
10,양천구,111.1
11,양천구,99.5
12,양천구,96.1
01,강서구,114.3
02,강서구,115.2
03,강서구,112.4
04,강서구,109.1
05,강서구,109.3
06,강서구,114.4
07,강서구,118.6
08,강서구,122.1
09,강서구,119.9
10,강서구,111.1
11,강서구,99.5
12,강서구,96.1
01,구로구,114.3
02,구로구,115.2
03,구로구,112.4
04,구로구,109.1
05,구로구,109.3
06,구로구,114.4
07,구로구,118.6
08,구로구,122.1
09,구로구,119.9
10,구로구,111.1
11,구로구,99.5
12,구로구,96.1
01,금천구,114.3
02,금천구,115.2
03,금천구,112.4
04,금천구,109.1
05,금천구,109.3
06,금천구,114.4
07,금천구,118.6
08,금천구,122.1
09,금천구,119.9
10,금천구,111.1
11,금천구,99.5
12,금천구,96.1
01,영등포구,114.3
02,영등포구,115.2
03,영등포구,112.4
04,영등포구,109.1
05,영등포구,109.3
06,영등포구,114.4
07,영등포구,118.6
08,영등포구,122.1
09,영등포구,119.9
10,영등포구,111.1
11,영등포구,99.5
12,영등포구,96.1
01,동작구,114.3
02,동작구,115.2
03,동작구,112.4
04,동작구,109.1
05,동작구,109.3
06,동작구,114.4
07,동작구,118.6
08,동작구,122.1
09,동작구,119.9
10,동작구,111.1
11,동작구,99.5
12,동작구,96.1
01,관악구,114.3
02,관악구,115.2
03,관악구,112.4
04,관악구,109.1
05,관악구,109.3
06,관악구,114.4
07,관악구,118.6
08,관악구,122.1
09,관악구,119.9
10,관악구,111.1
11,관악구,99.5
12,관악구,96.1
01,서초구,115.4
02,서초구,116.5
03,서초구,112.0
04,서초구,109.6
05,서초구,113.2
06,서초구,120.7
07,서초구,123.9
08,서초구,125.3
09,서초구,125.8
10,서초구,118.3
11,서초구,98.6
12,서초구,92.8
01,강남구,115.4
02,강남구,116.5
03,강남구,112.0
04,강남구,109.6
05,강남구,113.2
06,강남구,120.7
07,강남구,123.9
08,강남구,125.3
09,강남구,125.8
10,강남구,118.3
11,강남구,98.6
12,강남구,92.8
01,송파구,115.4
02,송파구,116.5
03,송파구,112.0
04,송파구,109.6
05,송파구,113.2
06,송파구,120.7
07,송파구,123.9
08,송파구,125.3
09,송파구,125.8
10,송파구,118.3
11,송파구,98.6
12,송파구,92.8
01,강동구,115.4
02,강동구,116.5
03,강동구,112.0
04,강동구,109.6
05,강동구,113.2
06,강동구,120.7
07,강동구,123.9
08,강동구,125.3
09,강동구,125.8
10,강동구,118.3
11,강동구,98.6
12,강동구,92.8
