월,구,수급등급
11,강남구,94.9
12,강남구,89.4
01,송파구,123.1
02,송파구,119.1
03,송파구,112.1
04,송파구,100.3
05,송파구,93.6
06,송파구,92.0
07,송파구,91.8
08,송파구,104.1
09,송파구,123.5
10,송파구,107.1
11,송파구,94.9
12,송파구,89.4
01,강동구,123.1
02,강동구,119.1
03,강동구,112.1
04,강동구,100.3
05,강동구,93.6
06,강동구,92.0
07,강동구,91.8
08,강동구,104.1
09,강동구,123.5
10,강동구,107.1
11,강동구,94.9
12,강동구,89.4
