구,원자료,전기대비증감률
강남구,100.48166666666667,0.017500000000000005
강동구,97.06666666666666,-0.07833333333333332
강북구,96.3,-0.2558333333333333
강서구,94.42833333333333,-0.3775
관악구,95.755,-0.24916666666666668
광진구,97.245,-0.2233333333333333
구로구,95.615,-0.32083333333333336
금천구,94.42750000000001,-0.37083333333333335
노원구,90.86,-0.29
도봉구,92.08333333333333,-0.3875
동대문구,95.075,-0.1575
동작구,98.29083333333334,-0.165
마포구,96.86,-0.11166666666666665
서대문구,94.68083333333334,-0.23750000000000002
서초구,102.55333333333334,0.001666666666666668
성동구,97.565,0.0050000000000000044
성북구,93.97000000000001,-0.19833333333333333
송파구,98.64833333333333,0.1575
양천구,97.37333333333333,-0.07916666666666668
영등포구,95.23166666666667,-0.17166666666666666
용산구,100.15249999999999,-0.012499999999999997
은평구,95.85583333333334,-0.21833333333333335
종로구,98.48333333333333,-0.12166666666666666
중구,94.14583333333333,-0.2058333333333333
중랑구,96.01166666666667,-0.2325
