월,구,수급등급
11,양천구,109.6
12,양천구,110.5
01,강서구,101.7
02,강서구,99.9
03,강서구,98.5
04,강서구,97.7
05,강서구,99.0
06,강서구,100.6
07,강서구,102.8
08,강서구,107.5
09,강서구,108.3
10,강서구,111.1
11,강서구,109.6
12,강서구,110.5
01,구로구,101.7
02,구로구,99.9
03,구로구,98.5
04,구로구,97.7
05,구로구,99.0
06,구로구,100.6
07,구로구,102.8
08,구로구,107.5
09,구로구,108.3
10,구로구,111.1
11,구로구,109.6
12,구로구,110.5
01,금천구,101.7
02,금천구,99.9
03,금천구,98.5
04,금천구,97.7
05,금천구,99.0
06,금천구,100.6
07,금천구,102.8
08,금천구,107.5
09,금천구,108.3
10,금천구,111.1
11,금천구,109.6
12,금천구,110.5
01,영등포구,101.7
02,영등포구,99.9
03,영등포구,98.5
04,영등포구,97.7
05,영등포구,99.0
06,영등포구,100.6
07,영등포구,102.8
08,영등포구,107.5
09,영등포구,108.3
10,영등포구,111.1
11,영등포구,109.6
12,영등포구,110.5
01,동작구,101.7
02,동작구,99.9
03,동작구,98.5
04,동작구,97.7
05,동작구,99.0
06,동작구,100.6
07,동작구,102.8
08,동작구,107.5
09,동작구,108.3
10,동작구,111.1
11,동작구,109.6
12,동작구,110.5
01,관악구,101.7
02,관악구,99.9
03,관악구,98.5
04,관악구,97.7
05,관악구,99.0
06,관악구,100.6
07,관악구,102.8
08,관악구,107.5
09,관악구,108.3
10,관악구,111.1
11,관악구,109.6
12,관악구,110.5
01,서초구,101.2
02,서초구,101.1
03,서초구,101.1
04,서초구,100.9
05,서초구,101.1
06,서초구,101.8
07,서초구,102.2
08,서초구,102.3
09,서초구,102.6
10,서초구,105.5
11,서초구,105.3
12,서초구,103.0
01,강남구,101.2
02,강남구,101.1
03,강남구,101.1
04,강남구,100.9
05,강남구,101.1
06,강남구,101.8
07,강남구,102.2
08,강남구,102.3
09,강남구,102.6
10,강남구,105.5
11,강남구,105.3
12,강남구,103.0
01,송파구,101.2
02,송파구,101.1
03,송파구,101.1
04,송파구,100.9
05,송파구,101.1
06,송파구,101.8
07,송파구,102.2
08,송파구,102.3
09,송파구,102.6
10,송파구,105.5
11,송파구,105.3
12,송파구,103.0
01,강동구,101.2
02,강동구,101.1
03,강동구,101.1
04,강동구,100.9
05,강동구,101.1
06,강동구,101.8
07,강동구,102.2
08,강동구,102.3
09,강동구,102.6
10,강동구,105.5
11,강동구,105.3
12,강동구,103.0
