월,구,수급등급
01,종로구,80.5
02,종로구,80.5
03,종로구,80.5
04,종로구,80.3
05,종로구,80.3
06,종로구,80.3
07,종로구,80.8
08,종로구,88.6
09,종로구,99.9
10,종로구,97.4
11,종로구,97.3
12,종로구,96.1
01,중구,80.5
02,중구,80.5
03,중구,80.5
04,중구,80.3
05,중구,80.3
06,중구,80.3
07,중구,80.8
08,중구,88.6
09,중구,99.9
10,중구,97.4
11,중구,97.3
12,중구,96.1
01,용산구,80.5
02,용산구,80.5
03,용산구,80.5
04,용산구,80.3
05,용산구,80.3
06,용산구,80.3
07,용산구,80.8
08,용산구,88.6
09,용산구,99.9
10,용산구,97.4
11,용산구,97.3
12,용산구,96.1
01,성동구,104.2
02,성동구,100.6
03,성동구,97.0
04,성동구,96.8
05,성동구,96.5
06,성동구,96.9
07,성동구,96.9
08,성동구,96.7
09,성동구,97.2
10,성동구,97.3
11,성동구,97.1
12,성동구,97.1
01,광진구,104.2
02,광진구,100.6
03,광진구,97.0
04,광진구,96.8
05,광진구,96.5
06,광진구,96.9
07,광진구,96.9
08,광진구,96.7
09,광진구,97.2
10,광진구,97.3
11,광진구,97.1
12,광진구,97.1
01,동대문구,104.2
02,동대문구,100.6
03,동대문구,97.0
04,동대문구,96.8
05,동대문구,96.5
06,동대문구,96.9
07,동대문구,96.9
08,동대문구,96.7
09,동대문구,97.2
10,동대문구,97.3
11,동대문구,97.1
12,동대문구,97.1
01,중랑구,104.2
02,중랑구,100.6
03,중랑구,97.0
04,중랑구,96.8
05,중랑구,96.5
06,중랑구,96.9
07,중랑구,96.9
08,중랑구,96.7
09,중랑구,97.2
10,중랑구,97.3
11,중랑구,97.1
12,중랑구,97.1
01,성북구,104.2
02,성북구,100.6
03,성북구,97.0
04,성북구,96.8
05,성북구,96.5
06,성북구,96.9
07,성북구,96.9
08,성북구,96.7
09,성북구,97.2
10,성북구,97.3
11,성북구,97.1
12,성북구,97.1
01,강북구,104.2
02,강북구,100.6
03,강북구,97.0
04,강북구,96.8
05,강북구,96.5
06,강북구,96.9
07,강북구,96.9
08,강북구,96.7
09,강북구,97.2
10,강북구,97.3
11,강북구,97.1
12,강북구,97.1
01,도봉구,104.2
02,도봉구,100.6
03,도봉구,97.0
04,도봉구,96.8
05,도봉구,96.5
06,도봉구,96.9
07,도봉구,96.9
08,도봉구,96.7
09,도봉구,97.2
10,도봉구,97.3
11,도봉구,97.1
12,도봉구,97.1
01,노원구,104.2
02,노원구,100.6
03,노원구,97.0
04,노원구,96.8
05,노원구,96.5
06,노원구,96.9
07,노원구,96.9
08,노원구,96.7
09,노원구,97.2
10,노원구,97.3
11,노원구,97.1
12,노원구,97.1
01,은평구,82.3
02,은평구,86.8
03,은평구,87.1
04,은평구,87.1
05,은평구,87.2
06,은평구,88.3
07,은평구,88.4
08,은평구,88.2
09,은평구,90.6
10,은평구,90.8
11,은평구,91.9
12,은평구,91.3
01,서대문구,82.3
02,서대문구,86.8
03,서대문구,87.1
04,서대문구,87.1
05,서대문구,87.2
06,서대문구,88.3
07,서대문구,88.4
08,서대문구,88.2
09,서대문구,90.6
10,서대문구,90.8
11,서대문구,91.9
12,서대문구,91.3
01,마포구,82.3
02,마포구,86.8
03,마포구,87.1
04,마포구,87.1
05,마포구,87.2
06,마포구,88.3
07,마포구,88.4
08,마포구,88.2
09,마포구,90.6
10,마포구,90.8
11,마포구,91.9
12,마포구,91.3
01,양천구,101.7
02,양천구,99.9
03,양천구,98.5
04,양천구,97.7
05,양천구,99.0
06,양천구,100.6
07,양천구,102.8
08,양천구,107.5
09,양천구,108.3
10,양천구,111.1
