구,원자료,전기대비증감률
강남구,95.7325,0.049166666666666664
강동구,95.84750000000001,0.1975
강북구,96.10166666666667,0.28583333333333333
강서구,96.82333333333334,0.20666666666666667
관악구,96.36583333333333,0.24583333333333335
광진구,96.40333333333332,0.22416666666666665
구로구,96.68916666666667,0.29833333333333334
금천구,97.14999999999999,0.21
노원구,93.17,0.3875
도봉구,94.83166666666666,0.26
동대문구,95.92166666666667,0.295
동작구,95.92833333333333,0.19833333333333333
마포구,95.73166666666667,0.28583333333333333
서대문구,97.24166666666667,0.20833333333333334
서초구,95.22833333333334,0.0675
성동구,96.31666666666666,0.24916666666666668
성북구,96.3675,0.255
송파구,95.63583333333334,0.12166666666666666
양천구,96.28500000000001,0.23083333333333333
영등포구,96.15249999999999,0.2675
용산구,96.75750000000001,0.21916666666666665
은평구,96.66916666666667,0.2025
종로구,97.61416666666666,0.1825
중구,97.00666666666666,0.18916666666666668
중랑구,96.29166666666667,0.26333333333333336
