구,원자료,전기대비증감률
강남구,100.69416666666666,0.7308333333333333
강동구,100.51583333333333,0.5741666666666666
강북구,100.28666666666668,0.3875
강서구,100.57,0.42333333333333334
관악구,100.38333333333333,0.4025
광진구,100.15333333333332,0.33916666666666667
구로구,100.51333333333334,0.4058333333333333
금천구,100.38499999999999,0.35333333333333333
노원구,100.72916666666667,0.8616666666666667
도봉구,100.62583333333333,0.6758333333333333
동대문구,100.34666666666668,0.4191666666666667
동작구,100.4825,0.57
마포구,100.43916666666667,0.5033333333333333
서대문구,100.40416666666665,0.33416666666666667
서초구,100.53000000000002,0.7625000000000001
성동구,100.28333333333335,0.35916666666666663
성북구,100.51916666666666,0.45166666666666666
송파구,100.83916666666666,0.7250000000000001
양천구,100.26333333333334,0.44
영등포구,100.41083333333334,0.4558333333333333
용산구,100.68833333333333,0.49
은평구,100.63083333333333,0.4708333333333334
종로구,100.57416666666666,0.3408333333333333
중구,100.42166666666667,0.36916666666666664
중랑구,100.46916666666668,0.4266666666666667
