월,구,수급등급
01,종로구,86.7
02,종로구,87.3
03,종로구,88.8
04,종로구,91.4
05,종로구,94.3
06,종로구,98.6
07,종로구,102.5
08,종로구,102.0
09,종로구,101.9
01,중구,86.7
02,중구,87.3
03,중구,88.8
04,중구,91.4
05,중구,94.3
06,중구,98.6
07,중구,102.5
08,중구,102.0
09,중구,101.9
01,용산구,86.7
02,용산구,87.3
03,용산구,88.8
04,용산구,91.4
05,용산구,94.3
06,용산구,98.6
07,용산구,102.5
08,용산구,102.0
09,용산구,101.9
01,성동구,80.6
02,성동구,81.5
03,성동구,84.3
04,성동구,86.8
05,성동구,90.6
06,성동구,97.2
07,성동구,100.2
08,성동구,101.5
09,성동구,100.7
01,광진구,80.6
02,광진구,81.5
03,광진구,84.3
04,광진구,86.8
05,광진구,90.6
06,광진구,97.2
07,광진구,100.2
08,광진구,101.5
09,광진구,100.7
01,동대문구,80.6
02,동대문구,81.5
03,동대문구,84.3
04,동대문구,86.8
05,동대문구,90.6
06,동대문구,97.2
07,동대문구,100.2
08,동대문구,101.5
09,동대문구,100.7
01,중랑구,80.6
02,중랑구,81.5
03,중랑구,84.3
04,중랑구,86.8
05,중랑구,90.6
06,중랑구,97.2
07,중랑구,100.2
08,중랑구,101.5
09,중랑구,100.7
01,성북구,80.6
02,성북구,81.5
03,성북구,84.3
04,성북구,86.8
05,성북구,90.6
06,성북구,97.2
07,성북구,100.2
08,성북구,101.5
09,성북구,100.7
01,강북구,80.6
02,강북구,81.5
03,강북구,84.3
04,강북구,86.8
05,강북구,90.6
06,강북구,97.2
07,강북구,100.2
08,강북구,101.5
09,강북구,100.7
01,도봉구,80.6
02,도봉구,81.5
03,도봉구,84.3
04,도봉구,86.8
05,도봉구,90.6
06,도봉구,97.2
07,도봉구,100.2
08,도봉구,101.5
09,도봉구,100.7
01,노원구,80.6
02,노원구,81.5
03,노원구,84.3
04,노원구,86.8
05,노원구,90.6
06,노원구,97.2
07,노원구,100.2
08,노원구,101.5
09,노원구,100.7
01,은평구,85.9
02,은평구,84.9
03,은평구,89.1
04,은평구,92.5
05,은평구,94.7
06,은평구,99.7
07,은평구,103.5
08,은평구,102.9
09,은평구,102.8
01,서대문구,85.9
02,서대문구,84.9
03,서대문구,89.1
04,서대문구,92.5
05,서대문구,94.7
06,서대문구,99.7
07,서대문구,103.5
08,서대문구,102.9
09,서대문구,102.8
01,마포구,85.9
02,마포구,84.9
03,마포구,89.1
04,마포구,92.5
05,마포구,94.7
06,마포구,99.7
07,마포구,103.5
08,마포구,102.9
09,마포구,102.8
01,양천구,85.3
02,양천구,86.2
03,양천구,89.0
04,양천구,91.7
05,양천구,93.8
06,양천구,97.5
07,양천구,102.4
08,양천구,103.4
09,양천구,101.7
01,강서구,85.3
02,강서구,86.2
03,강서구,89.0
04,강서구,91.7
05,강서구,93.8
06,강서구,97.5
07,강서구,102.4
08,강서구,103.4
09,강서구,101.7
01,구로구,85.3
02,구로구,86.2
03,구로구,89.0
04,구로구,91.7
05,구로구,93.8
06,구로구,97.5
07,구로구,102.4
08,구로구,103.4
09,구로구,101.7
01,금천구,85.3
02,금천구,86.2
03,금천구,89.0
04,금천구,91.7
05,금천구,93.8
06,금천구,97.5
07,금천구,102.4
08,금천구,103.4
09,금천구,101.7
01,영등포구,85.3
02,영등포구,86.2
03,영등포구,89.0
04,영등포구,91.7
05,영등포구,93.8
06,영등포구,97.5
07,영등포구,102.4
08,영등포구,103.4
09,영등포구,101.7
01,동작구,85.3
02,동작구,86.2
03,동작구,89.0
04,동작구,91.7
05,동작구,93.8
06,동작구,97.5
07,동작구,102.4
08,동작구,103.4
09,동작구,101.7
01,관악구,85.3
02,관악구,86.2
03,관악구,89.0
04,관악구,91.7
05,관악구,93.8
06,관악구,97.5
07,관악구,102.4
08,관악구,103.4
09,관악구,101.7
01,서초구,87.2
02,서초구,88.3
03,서초구,90.2
04,서초구,92.8
05,서초구,94.2
06,서초구,97.4
07,서초구,103.8
08,서초구,103.3
09,서초구,102.2
01,강남구,87.2
02,강남구,88.3
03,강남구,90.2
04,강남구,92.8
05,강남구,94.2
06,강남구,97.4
07,강남구,103.8
08,강남구,103.3
09,강남구,102.2
01,송파구,87.2
02,송파구,88.3
03,송파구,90.2
04,송파구,92.8
05,송파구,94.2
06,송파구,97.4
07,송파구,103.8
08,송파구,103.3
09,송파구,102.2
01,강동구,87.2
02,강동구,88.3
03,강동구,90.2
04,강동구,92.8
05,강동구,94.2
06,강동구,97.4
07,강동구,103.8
08,강동구,103.3
09,강동구,102.2
