구,원자료,전기대비증감률
강남구,76.53083333333333,0.63
강동구,79.05749999999999,0.5866666666666667
강북구,85.45583333333333,0.20166666666666666
강서구,81.65833333333333,0.4025
관악구,84.79333333333334,0.25833333333333336
광진구,83.02499999999999,0.41333333333333333
구로구,82.40333333333332,0.4916666666666667
금천구,86.1475,0.26666666666666666
노원구,79.57083333333334,0.6
도봉구,83.96166666666666,0.32916666666666666
동대문구,81.79,0.48416666666666663
동작구,79.85666666666667,0.2866666666666667
마포구,77.89083333333333,0.23666666666666666
서대문구,84.21333333333334,0.22583333333333333
서초구,79.72500000000001,0.5
성동구,79.33583333333333,0.46249999999999997
성북구,82.6725,0.25916666666666666
송파구,79.1875,0.36333333333333334
양천구,80.69,0.36000000000000004
영등포구,78.17416666666666,0.3833333333333333
용산구,80.16166666666668,0.1625
은평구,85.5425,0.2075
종로구,85.48833333333333,0.17666666666666667
중구,82.55083333333333,0.24083333333333334
중랑구,86.20666666666666,0.2175
