월,구,수급등급
01,종로구,75.0
02,종로구,77.1
03,종로구,79.9
04,종로구,82.8
05,종로구,83.4
06,종로구,85.3
07,종로구,88.6
08,종로구,90.4
09,종로구,91.0
10,종로구,90.9
11,종로구,89.6
12,종로구,88.1
01,중구,75.0
02,중구,77.1
03,중구,79.9
04,중구,82.8
05,중구,83.4
06,중구,85.3
07,중구,88.6
08,중구,90.4
09,중구,91.0
10,중구,90.9
11,중구,89.6
12,중구,88.1
01,용산구,75.0
02,용산구,77.1
03,용산구,79.9
04,용산구,82.8
05,용산구,83.4
06,용산구,85.3
07,용산구,88.6
08,용산구,90.4
09,용산구,91.0
10,용산구,90.9
11,용산구,89.6
12,용산구,88.1
01,성동구,73.1
02,성동구,74.8
03,성동구,78.1
04,성동구,81.2
05,성동구,86.4
06,성동구,86.6
07,성동구,87.1
08,성동구,87.0
09,성동구,86.5
10,성동구,85.5
11,성동구,83.2
12,성동구,80.7
01,광진구,73.1
02,광진구,74.8
03,광진구,78.1
04,광진구,81.2
05,광진구,86.4
06,광진구,86.6
07,광진구,87.1
08,광진구,87.0
09,광진구,86.5
10,광진구,85.5
11,광진구,83.2
12,광진구,80.7
01,동대문구,73.1
02,동대문구,74.8
03,동대문구,78.1
04,동대문구,81.2
05,동대문구,86.4
06,동대문구,86.6
07,동대문구,87.1
08,동대문구,87.0
09,동대문구,86.5
10,동대문구,85.5
11,동대문구,83.2
12,동대문구,80.7
01,중랑구,73.1
02,중랑구,74.8
03,중랑구,78.1
04,중랑구,81.2
05,중랑구,86.4
06,중랑구,86.6
07,중랑구,87.1
08,중랑구,87.0
09,중랑구,86.5
10,중랑구,85.5
11,중랑구,83.2
12,중랑구,80.7
01,성북구,73.1
02,성북구,74.8
03,성북구,78.1
04,성북구,81.2
05,성북구,86.4
06,성북구,86.6
07,성북구,87.1
08,성북구,87.0
09,성북구,86.5
10,성북구,85.5
11,성북구,83.2
12,성북구,80.7
01,강북구,73.1
02,강북구,74.8
03,강북구,78.1
04,강북구,81.2
05,강북구,86.4
06,강북구,86.6
07,강북구,87.1
08,강북구,87.0
09,강북구,86.5
10,강북구,85.5
11,강북구,83.2
12,강북구,80.7
01,도봉구,73.1
02,도봉구,74.8
03,도봉구,78.1
04,도봉구,81.2
05,도봉구,86.4
06,도봉구,86.6
07,도봉구,87.1
08,도봉구,87.0
09,도봉구,86.5
10,도봉구,85.5
11,도봉구,83.2
12,도봉구,80.7
01,노원구,73.1
02,노원구,74.8
03,노원구,78.1
04,노원구,81.2
05,노원구,86.4
06,노원구,86.6
07,노원구,87.1
08,노원구,87.0
09,노원구,86.5
10,노원구,85.5
11,노원구,83.2
12,노원구,80.7
01,은평구,71.8
02,은평구,72.1
03,은평구,73.7
04,은평구,76.1
05,은평구,79.6
06,은평구,81.4
07,은평구,85.5
08,은평구,87.6
09,은평구,89.4
10,은평구,88.7
11,은평구,87.4
12,은평구,86.0
01,서대문구,71.8
02,서대문구,72.1
03,서대문구,73.7
04,서대문구,76.1
05,서대문구,79.6
06,서대문구,81.4
07,서대문구,85.5
08,서대문구,87.6
09,서대문구,89.4
10,서대문구,88.7
11,서대문구,87.4
12,서대문구,86.0
01,마포구,71.8
02,마포구,72.1
03,마포구,73.7
04,마포구,76.1
05,마포구,79.6
06,마포구,81.4
07,마포구,85.5
08,마포구,87.6
09,마포구,89.4
10,마포구,88.7
11,마포구,87.4
12,마포구,86.0
01,양천구,64.8
02,양천구,64.7
03,양천구,68.9
04,양천구,73.7
05,양천구,78.3
06,양천구,81.8
07,양천구,85.2
08,양천구,88.2
09,양천구,90.9
10,양천구,91.0
11,양천구,88.6
12,양천구,85.8
01,강서구,64.8
02,강서구,64.7
03,강서구,68.9
04,강서구,73.7
05,강서구,78.3
06,강서구,81.8
07,강서구,85.2
08,강서구,88.2
09,강서구,90.9
10,강서구,91.0
11,강서구,88.6
12,강서구,85.8
01,구로구,64.8
02,구로구,64.7
03,구로구,68.9
04,구로구,73.7
05,구로구,78.3
06,구로구,81.8
07,구로구,85.2
08,구로구,88.2
09,구로구,90.9
10,구로구,91.0
11,구로구,88.6
12,구로구,85.8
01,금천구,64.8
02,금천구,64.7
03,금천구,68.9
04,금천구,73.7
05,금천구,78.3
06,금천구,81.8
07,금천구,85.2
08,금천구,88.2
09,금천구,90.9
10,금천구,91.0
11,금천구,88.6
12,금천구,85.8
01,영등포구,64.8
02,영등포구,64.7
03,영등포구,68.9
04,영등포구,73.7
05,영등포구,78.3
06,영등포구,81.8
07,영등포구,85.2
08,영등포구,88.2
09,영등포구,90.9
10,영등포구,91.0
11,영등포구,88.6
12,영등포구,85.8
01,동작구,64.8
02,동작구,64.7
03,동작구,68.9
04,동작구,73.7
05,동작구,78.3
06,동작구,81.8
07,동작구,85.2
08,동작구,88.2
09,동작구,90.9
10,동작구,91.0
11,동작구,88.6
12,동작구,85.8
01,관악구,64.8
02,관악구,64.7
03,관악구,68.9
04,관악구,73.7
05,관악구,78.3
06,관악구,81.8
07,관악구,85.2
08,관악구,88.2
09,관악구,90.9
10,관악구,91.0
11,관악구,88.6
12,관악구,85.8
01,서초구,75.0
02,서초구,73.9
03,서초구,76.3
04,서초구,77.4
05,서초구,85.8
06,서초구,89.7
07,서초구,89.8
08,서초구,92.3
09,서초구,92.2
10,서초구,90.8
11,서초구,88.4
12,서초구,86.4
01,강남구,75.0
02,강남구,73.9
03,강남구,76.3
04,강남구,77.4
05,강남구,85.8
06,강남구,89.7
07,강남구,89.8
08,강남구,92.3
09,강남구,92.2
10,강남구,90.8
11,강남구,88.4
12,강남구,86.4
01,송파구,75.0
02,송파구,73.9
03,송파구,76.3
04,송파구,77.4
05,송파구,85.8
06,송파구,89.7
07,송파구,89.8
08,송파구,92.3
09,송파구,92.2
10,송파구,90.8
11,송파구,88.4
12,송파구,86.4
01,강동구,75.0
02,강동구,73.9
03,강동구,76.3
04,강동구,77.4
05,강동구,85.8
06,강동구,89.7
07,강동구,89.8
08,강동구,92.3
09,강동구,92.2
10,강동구,90.8
11,강동구,88.4
12,강동구,86.4
