구,원자료,전기대비증감률
강남구,102.926,0.49700000000000005
강동구,98.955,0.294
강북구,95.966,0.083
강서구,94.312,0.118
관악구,95.908,0.09
광진구,98.38300000000001,0.309
구로구,95.611,0.16999999999999998
금천구,94.388,0.096
노원구,90.575,0.128
도봉구,91.337,0.023
동대문구,96.635,0.26
동작구,99.231,0.28900000000000003
마포구,98.788,0.417
서대문구,95.49199999999999,0.279
서초구,105.09200000000001,0.613
성동구,101.412,0.6910000000000001
성북구,94.949,0.252
송파구,102.452,0.531
양천구,98.949,0.24
영등포구,97.33200000000001,0.384
용산구,102.828,0.44299999999999995
은평구,96.241,0.176
종로구,99.47200000000001,0.20099999999999998
중구,95.326,0.264
중랑구,96.481,0.185
