월,구,수급등급
01,종로구,80.6
02,종로구,81.0
03,종로구,81.0
04,종로구,81.0
05,종로구,83.1
06,종로구,82.2
07,종로구,82.4
08,종로구,82.0
09,종로구,80.5
10,종로구,81.6
11,종로구,82.5
12,종로구,80.7
01,중구,80.6
02,중구,81.0
03,중구,81.0
04,중구,81.0
05,중구,83.1
06,중구,82.2
07,중구,82.4
08,중구,82.0
09,중구,80.5
10,중구,81.6
11,중구,82.5
12,중구,80.7
01,용산구,80.6
02,용산구,81.0
03,용산구,81.0
04,용산구,81.0
05,용산구,83.1
06,용산구,82.2
07,용산구,82.4
08,용산구,82.0
09,용산구,80.5
10,용산구,81.6
11,용산구,82.5
12,용산구,80.7
01,성동구,93.8
02,성동구,98.7
03,성동구,101.5
04,성동구,104.1
05,성동구,103.4
06,성동구,104.2
07,성동구,105.8
08,성동구,105.0
09,성동구,109.1
10,성동구,112.4
11,성동구,113.8
12,성동구,109.3
01,광진구,93.8
02,광진구,98.7
03,광진구,101.5
04,광진구,104.1
05,광진구,103.4
06,광진구,104.2
07,광진구,105.8
08,광진구,105.0
09,광진구,109.1
10,광진구,112.4
11,광진구,113.8
12,광진구,109.3
01,동대문구,93.8
02,동대문구,98.7
03,동대문구,101.5
04,동대문구,104.1
05,동대문구,103.4
06,동대문구,104.2
07,동대문구,105.8
08,동대문구,105.0
09,동대문구,109.1
10,동대문구,112.4
11,동대문구,113.8
12,동대문구,109.3
01,중랑구,93.8
02,중랑구,98.7
03,중랑구,101.5
04,중랑구,104.1
05,중랑구,103.4
06,중랑구,104.2
07,중랑구,105.8
08,중랑구,105.0
09,중랑구,109.1
10,중랑구,112.4
11,중랑구,113.8
12,중랑구,109.3
01,성북구,93.8
02,성북구,98.7
03,성북구,101.5
04,성북구,104.1
05,성북구,103.4
06,성북구,104.2
07,성북구,105.8
08,성북구,105.0
09,성북구,109.1
10,성북구,112.4
11,성북구,113.8
12,성북구,109.3
01,강북구,93.8
02,강북구,98.7
03,강북구,101.5
04,강북구,104.1
05,강북구,103.4
06,강북구,104.2
07,강북구,105.8
08,강북구,105.0
09,강북구,109.1
10,강북구,112.4
11,강북구,113.8
12,강북구,109.3
01,도봉구,93.8
02,도봉구,98.7
03,도봉구,101.5
04,도봉구,104.1
05,도봉구,103.4
06,도봉구,104.2
07,도봉구,105.8
08,도봉구,105.0
09,도봉구,109.1
10,도봉구,112.4
11,도봉구,113.8
12,도봉구,109.3
01,노원구,93.8
02,노원구,98.7
03,노원구,101.5
04,노원구,104.1
05,노원구,103.4
06,노원구,104.2
07,노원구,105.8
08,노원구,105.0
09,노원구,109.1
10,노원구,112.4
11,노원구,113.8
12,노원구,109.3
01,은평구,68.4
02,은평구,69.3
03,은평구,71.3
04,은평구,74.5
05,은평구,74.3
06,은평구,74.9
07,은평구,78.1
08,은평구,78.4
09,은평구,80.4
10,은평구,81.6
11,은평구,82.5
12,은평구,82.5
01,서대문구,68.4
02,서대문구,69.3
03,서대문구,71.3
04,서대문구,74.5
05,서대문구,74.3
06,서대문구,74.9
07,서대문구,78.1
08,서대문구,78.4
09,서대문구,80.4
10,서대문구,81.6
11,서대문구,82.5
12,서대문구,82.5
01,마포구,68.4
02,마포구,69.3
03,마포구,71.3
04,마포구,74.5
05,마포구,74.3
06,마포구,74.9
07,마포구,78.1
08,마포구,78.4
09,마포구,80.4
10,마포구,81.6
11,마포구,82.5
12,마포구,82.5
01,양천구,95.0
02,양천구,96.1
03,양천구,98.3
04,양천구,102.4
05,양천구,101.4
06,양천구,103.6
07,양천구,103.0
08,양천구,104.1
09,양천구,106.7
10,양천구,105.6
11,양천구,103.1
12,양천구,104.1
01,강서구,95.0
02,강서구,96.1
03,강서구,98.3
04,강서구,102.4
05,강서구,101.4
06,강서구,103.6
07,강서구,103.0
08,강서구,104.1
09,강서구,106.7
10,강서구,105.6
11,강서구,103.1
12,강서구,104.1
01,구로구,95.0
02,구로구,96.1
03,구로구,98.3
04,구로구,102.4
05,구로구,101.4
06,구로구,103.6
07,구로구,103.0
08,구로구,104.1
09,구로구,106.7
10,구로구,105.6
11,구로구,103.1
12,구로구,104.1
01,금천구,95.0
02,금천구,96.1
03,금천구,98.3
04,금천구,102.4
05,금천구,101.4
06,금천구,103.6
07,금천구,103.0
08,금천구,104.1
09,금천구,106.7
10,금천구,105.6
11,금천구,103.1
12,금천구,104.1
01,영등포구,95.0
02,영등포구,96.1
03,영등포구,98.3
04,영등포구,102.4
05,영등포구,101.4
06,영등포구,103.6
07,영등포구,103.0
08,영등포구,104.1
09,영등포구,106.7
10,영등포구,105.6
11,영등포구,103.1
12,영등포구,104.1
01,동작구,95.0
02,동작구,96.1
03,동작구,98.3
04,동작구,102.4
05,동작구,101.4
06,동작구,103.6
07,동작구,103.0
08,동작구,104.1
09,동작구,106.7
10,동작구,105.6
11,동작구,103.1
12,동작구,104.1
01,관악구,95.0
02,관악구,96.1
03,관악구,98.3
04,관악구,102.4
05,관악구,101.4
06,관악구,103.6
07,관악구,103.0
08,관악구,104.1
09,관악구,106.7
10,관악구,105.6
11,관악구,103.1
12,관악구,104.1
01,서초구,101.4
02,서초구,101.4
03,서초구,101.5
04,서초구,101.5
05,서초구,101.7
06,서초구,101.7
07,서초구,101.2
08,서초구,100.7
09,서초구,101.1
10,서초구,101.1
11,서초구,101.4
12,서초구,101.2
01,강남구,101.4
02,강남구,101.4
03,강남구,101.5
04,강남구,101.5
05,강남구,101.7
06,강남구,101.7
07,강남구,101.2
08,강남구,100.7
09,강남구,101.1
10,강남구,101.1
11,강남구,101.4
12,강남구,101.2
01,송파구,101.4
02,송파구,101.4
03,송파구,101.5
04,송파구,101.5
05,송파구,101.7
06,송파구,101.7
07,송파구,101.2
08,송파구,100.7
09,송파구,101.1
10,송파구,101.1
11,송파구,101.4
12,송파구,101.2
01,강동구,101.4
02,강동구,101.4
03,강동구,101.5
04,강동구,101.5
05,강동구,101.7
06,강동구,101.7
07,강동구,101.2
08,강동구,100.7
09,강동구,101.1
10,강동구,101.1
11,강동구,101.4
12,강동구,101.2
