연도,구,ARS-ID,정류소명,노선수,X좌표,Y좌표
2020,종로구,1160,롯데아파트,5,126.976652,37.610248
2020,종로구,1161,벽산평창힐스아파트,5,126.972797,37.60819
2020,종로구,1162,예능교회,5,126.97,37.606517
2020,종로구,1163,서울예술고등학교.평창동주민센터,5,126.9676276108,37.6057787606
2020,종로구,1164,화정박물관,5,126.9648102665,37.6045038178
2020,종로구,1165,강북삼성병원,1,126.9686004828,37.568145927
2020,종로구,1167,독립문역.서대문형무소역사관,2,126.959322,37.573395
2020,종로구,1168,서대문.서울시교육청,8,126.9645273358,37.5682538056
2020,종로구,1169,서대문역사거리.적십자병원,6,126.9675878497,37.5671081521
2020,종로구,1171,독립문,2,126.9614303112,37.5713430165
2020,종로구,1172,창덕궁.서울돈화문국악당,9,126.9885394479,37.5775405746
2020,종로구,1173,무교동,1,126.9800947893,37.5692639006
2020,종로구,1174,청계1가.광교,1,126.9849267193,37.568684389
2020,종로구,1175,청계2가.수표교,1,126.9908172161,37.5684453156
2020,종로구,1176,청계4가.세운교,1,126.9965617399,37.5689254028
2020,종로구,1177,청계5가.광장시장,1,126.9997973605,37.5694512793
2020,종로구,1198,원남동,11,126.9973383362,37.5745325055
2020,종로구,1199,창덕궁.우리소리박물관,10,126.9889538872,37.5772726542
2020,종로구,1200,안국역.종로경찰서.인사동,10,126.9841344381,37.575798979
2020,종로구,1201,조계사,7,126.9831555803,37.5725223095
2020,종로구,1202,조계사,6,126.9828258888,37.5724858087
2020,종로구,1203,안국동,3,126.9827201116,37.5746105669
2020,종로구,1204,종로5가.효제동.김상옥의거터,11,127.00223,37.5745
2020,종로구,1205,종로5가.효제초등학교,11,127.0021442279,37.5728790133
2020,종로구,1209,창덕궁.돈화문국악당,10,126.991234977,37.5774327721
2020,종로구,1212,종로5가,3,127.0021826522,37.5705596025
2020,종로구,1213,청계6가.동대문시장,1,127.0028494203,37.5698351103
2020,종로구,1214,동대문,7,127.0084126252,37.5717262368
2020,종로구,1215,충신동,8,127.006278812,37.5740223509
2020,종로구,1217,충신동,4,127.0063433807,37.5744602778
2020,종로구,1218,현대그룹빌딩,9,127.0008065808,37.5759104142
2020,종로구,1219,방송통신대.이화장,19,127.002437,37.578043
2020,종로구,1220,혜화역.마로니에공원,19,127.0022769364,37.5811194873
2020,종로구,1221,혜화역.서울대병원입구,8,127.0018481852,37.5809559696
2020,종로구,1222,방송통신대.이화장,5,127.0019782952,37.5777889737
2020,종로구,1223,이화동(이화장),5,127.0006951494,37.576119355
2020,종로구,1224,창경궁.서울대학교병원,5,126.9968717143,37.5788279947
2020,종로구,1225,이화동(이화장),7,127.0032708172,37.5759372914
2020,종로구,1226,혜화동로터리,2,127.0006878052,37.5855803307
2020,종로구,1227,명륜동2가.성균관대입구,5,126.9993412723,37.5834170764
2020,종로구,1228,혜화역.서울연극센터(장면총리가옥),5,127.0014608831,37.5840306853
2020,종로구,1229,혜화역.동성중고(장면총리가옥),16,127.0015561579,37.5845329425
2020,종로구,1231,종로구민회관.창신동두산아파트,2,127.0155555279,37.5740926792
2020,종로구,1235,동묘역앞,2,127.0156014431,37.5716849566
2020,종로구,1236,동묘역앞,1,127.0159450485,37.5719221488
2020,종로구,1237,청계2가교차로,3,126.9878778705,37.5684809008
2020,종로구,1238,창신3동주민센터,2,127.015178,37.578413
2020,종로구,1239,숭인1동주민센터,3,127.0154557816,37.5786281555
2020,종로구,1240,동묘역.롯데캐슬천지인,3,127.0158023517,37.5741800523
2020,종로구,1243,신설동로터리,6,127.0228414296,37.5756947252
2020,종로구,1245,동묘앞,1,127.0175234975,37.5736431148
2020,종로구,1246,구기동현대빌라,2,126.956622,37.609682
2020,종로구,1247,광장시장,3,126.9977437946,37.5694963125
2020,종로구,1249,혜화경찰서,2,126.9974787875,37.5725807445
2020,종로구,1250,서울역사박물관.김구집무실(경교장),6,126.9721318077,37.5699003386
2020,종로구,1251,청계3가.관수교,1,126.9937793705,37.5686887917
2020,종로구,1252,청계6가.버들다리,1,127.0080377075,37.5699303868
2020,종로구,1253,청계7가.맑은내다리,1,127.0130967122,37.5700419608
2020,종로구,1254,청계8가.영도교,1,127.0181256262,37.5708949889
2020,종로구,1256,원남동사거리,5,126.9981123217,37.5757617378
2020,종로구,1262,숭인동,6,127.0204373408,37.5742721533
2020,종로구,1267,조계사,8,126.9831609226,37.572800338
2020,종로구,1272,세종문화회관,9,126.9770167126,37.5733655664
2020,종로구,1277,이화동(이화장),4,127.002955,37.576257
2020,종로구,1278,상명대정문,3,126.955143,37.601417
2020,종로구,1279,이북오도청,2,126.9559729686,37.6127234824
2020,종로구,1286,상명대입구.세검정교회,3,126.9597921957,37.5994435122
2020,종로구,1287,상명대입구.석파랑,4,126.9581941404,37.5995718125
2020,종로구,1288,종로중부새마을금고,7,127.0065911394,37.5724174899
2020,종로구,1289,신설동로터리.신한은행앞.서울풍물시장,2,127.0231950517,37.5742548131
2020,종로구,1291,청계2가.삼일교,1,126.9869890809,37.5683454305
2020,종로구,1292,청계8가.황학교,1,127.0227870051,37.5721307298
2020,종로구,1293,평창동삼성아파트,5,126.9787981475,37.6111800895
2020,종로구,1294,안국역.종로경찰서.인사동,2,126.9855365486,37.5763329308
2020,종로구,1295,안국역.종로경찰서.인사동,4,126.9848871214,37.5764140065
2020,종로구,1297,남인사마당,1,126.9874286375,37.5713191723
2020,종로구,1500,평창파출소,3,126.9668167021,37.605681218
2020,종로구,1501,삼청공원,1,126.9816468946,37.5882276807
2020,종로구,1502,수성동계곡,1,126.9644678921,37.5820813834
2020,종로구,1503,명륜3가종점,1,126.9928636796,37.5909483783
2020,종로구,1504,명륜새마을금고,1,126.9967901477,37.5877854691
2020,종로구,1505,서대문3번출구,1,126.9663939394,37.5663370645
2020,종로구,1506,낙산공원,1,127.0087215681,37.5804037213
2020,종로구,1507,인사미술공간.세탁소,1,126.9893670844,37.5814109836
2020,종로구,1508,화정박물관,1,126.9648837454,37.6048011982
2020,종로구,1509,금융연수원,1,126.9816582681,37.5866398268
2020,종로구,1510,박노수미술관,1,126.966603478,37.5809967425
2020,종로구,1511,샘미용실,1,126.9932227051,37.5903095275
2020,종로구,1512,서울국제고등학교,2,126.9972902593,37.5890715947
2020,종로구,1513,화정박물관,2,126.9652007897,37.6049806084
2020,종로구,1514,적십자병원후문앞,1,126.9652272769,37.5675295356
2020,종로구,1515,서울성곽.성대후문,1,126.989569366,37.5893663808
2020,종로구,1516,빨래터.고희동미술관,1,126.9890634276,37.582987218
2020,종로구,1517,세검초등학교,1,126.9614907597,37.6042522792
2020,종로구,1518,삼청동주민센터,1,126.9819071619,37.5842638281
2020,종로구,1519,통인시장,1,126.9684956941,37.5804417494
2020,종로구,1520,양현관,1,126.9936043615,37.5897914226
2020,종로구,1521,국민생활관,2,126.9988619666,37.5897456349
2020,종로구,1522,오거리,2,126.9622629001,37.6070621164
2020,종로구,1523,경희궁자이2.3단지,1,126.9640686009,37.5687871134
2020,종로구,1524,창신쌍용2단지.한성대후문,1,127.0127581151,37.5812647965
2020,종로구,1525,통일부,1,126.9859476734,37.5875948053
2020,종로구,1526,원서고개,1,126.9878088426,37.583080553
2020,종로구,1528,종로5가입구.혜화경찰서,1,126.9976709493,37.5717928476
2020,종로구,1529,삼청파출소,1,126.9812510491,37.581813662
2020,종로구,1530,오거리.한옥마을입구,1,126.9696088803,37.579404615
2020,종로구,1531,명륜시장.성대후문,1,126.9952543092,37.5885110529
2020,종로구,1532,혜화초등학교,2,126.9998516643,37.5872532276
2020,종로구,1533,청련사입구,2,126.9624312007,37.6079803769
2020,종로구,1534,영천시장,1,126.9627388724,37.5700818569
2020,종로구,1535,명신초.삼선푸르지오.힐스테이트,1,127.014556281,37.5821062067
2020,종로구,1536,감사원,1,126.9852900569,37.5862106518
2020,종로구,1537,중앙중고,1,126.986965299,37.583092177
2020,종로구,1538,인왕빌딩,1,126.9577443332,37.6079283311
2020,종로구,1539,종로4가.종묘공원,1,126.9946203403,37.5706890289
2020,종로구,1540,국립민속박물관,1,126.9795533717,37.5792551846
2020,종로구,1541,광화문새마을금고,1,126.9711466491,37.5793687689
2020,종로구,1542,새마을금고,1,126.996518051,37.5877370613
2020,종로구,1543,혜화우체국,2,127.0006137149,37.5860376565
2020,종로구,1544,언덕앞,2,126.9637921715,37.6089539753
2020,종로구,1545,경희궁자이4단지,1,126.9621148375,37.5707022242
2020,종로구,1546,종로센트레빌후문.e편한세상보문아파트,1,127.0161855253,37.5817743934
2020,종로구,1547,사우디대사관앞.경남빌라,1,126.9850311776,37.5841056738
2020,종로구,1548,안국선원.삼거리,2,126.984994076,37.5827909789
2020,종로구,1549,구기터널입구,1,126.9567768927,37.6082046142
2020,종로구,1550,종로3가.1.3.5호선,1,126.9920931881,37.5710875771
2020,종로구,1551,경복궁,1,126.9793377561,37.576950157
2020,종로구,1552,경복궁역,1,,
2020,종로구,1553,소나무집,2,126.964110466,37.6112770717
2020,종로구,1554,독립문역3번출구,1,126.9597453483,37.5728784775
2020,종로구,1555,청룡사.보문파크뷰자이아파트,1,127.01700714,37.5800189539
2020,종로구,1556,북촌한옥마을입구.정세권활동터,2,126.9849422317,37.5815997311
2020,종로구,1557,종로1.2.3.4가동주민센터,1,126.9911314256,37.5743837122
2020,종로구,1558,창덕궁,1,126.9906200153,37.5760892484
2020,종로구,1561,아름다운실버,2,126.965463701,37.6120100581
2020,종로구,1562,독립문초등학교,1,126.9606775165,37.5738699714
2020,종로구,1563,종로센트레빌아파트,1,127.0156926979,37.5803534405
2020,종로구,1564,가회동주민센터,2,126.9849543284,37.579972942
2020,종로구,1565,문방구,1,126.9579797248,37.6062686142
2020,종로구,1566,원남로터리,1,126.997511497,37.5762373738
2020,종로구,1567,보현산신각,2,126.9657790521,37.6134825236
2020,종로구,1568,천사유치원,1,126.9618040443,37.5746692802
2020,종로구,1569,쌍용아파트입구.창신역,1,127.0149635738,37.580511226
2020,종로구,1570,아름다운가게.정독도서관,2,126.9851271782,37.5789480833
2020,종로구,1571,산정빌라,1,126.9574922002,37.6051519935
2020,종로구,1572,이화사거리,1,127.0020914666,37.5765095598
2020,종로구,1573,박종화고택입구,2,126.9676873462,37.6143102577
2020,종로구,1574,무악현대아파트후문,1,126.9619411637,37.5763372261
2020,종로구,1576,헌법재판소.안국역,2,126.9858152185,37.5773871956
2020,종로구,1577,청구빌라,1,126.9569839726,37.6046102563
2020,종로구,1578,서울대어린이병원응급실.갑상선센터,1,126.9995029662,37.5781188768
2020,종로구,1580,화인빌라,2,126.9685386165,37.6129345305
2020,종로구,1581,넓은마당,1,126.9628880463,37.5752728058
2020,종로구,1582,창신초등학교,1,127.0153885503,37.5769032044
2020,종로구,1583,수운회관,2,126.986669266,37.5752189424
2020,종로구,1584,상명대후문,1,126.9573354115,37.6040255786
2020,종로구,1586,힐탑,2,126.9690205751,37.6116055569
2020,종로구,1587,신학대학교총회본부,1,126.9634445669,37.5739763092
2020,종로구,1589,낙원상가,2,126.9874148722,37.5737563689
2020,종로구,1590,완성빌라,1,126.9575011241,37.6034020863
2020,종로구,1591,서울대병원장례식장,1,126.9974309648,37.5805553988
2020,종로구,1592,혜화역1번출구,2,127.0017632862,37.5834729904
2020,종로구,1593,감나무골공원,2,126.9699479367,37.6124059606
2020,종로구,1594,한국사회과학자료원,1,126.9641239308,37.5736670147
2020,종로구,1595,동묘역,1,127.0142453819,37.5726943506
2020,종로구,1596,금강제화,2,126.9875484137,37.5705713654
2020,종로구,1597,경진빌라,1,126.9578303612,37.6020037175
2020,종로구,1598,성균관대학교앞,1,126.9992849459,37.5833533096
2020,종로구,1599,kt광화문지사,2,,
