년도,구,합계_공원수 (개소)
2015,종로구,114
2015,중구,70
2015,용산구,101
2015,성동구,81
2015,광진구,56
2015,동대문구,99
2015,중랑구,104
2015,성북구,130
2015,강북구,83
2015,도봉구,80
2015,노원구,178
2015,은평구,136
2015,서대문구,120
2015,마포구,155
2015,양천구,119
2015,강서구,167
2015,구로구,90
2015,금천구,58
2015,영등포구,122
2015,동작구,82
2015,관악구,111
2015,서초구,147
2015,강남구,154
2015,송파구,147
2015,강동구,122
2015,서울대공원,1
