년도,구,합계_공원수 (개소)
2023,종로구,106
2023,중구,72
2023,용산구,107
2023,성동구,105
2023,광진구,68
2023,동대문구,92
2023,중랑구,108
2023,성북구,123
2023,강북구,87
2023,도봉구,81
2023,노원구,186
2023,은평구,136
2023,서대문구,125
2023,마포구,144
2023,양천구,121
2023,강서구,174
2023,구로구,114
2023,금천구,55
2023,영등포구,108
2023,동작구,87
2023,관악구,134
2023,서초구,180
2023,강남구,165
2023,송파구,174
2023,강동구,131
2023,서울대공원,1
