년도,구,합계_공원수 (개소)
2019,종로구,106
2019,중구,73
2019,용산구,110
2019,성동구,86
2019,광진구,60
2019,동대문구,95
2019,중랑구,101
2019,성북구,133
2019,강북구,82
2019,도봉구,79
2019,노원구,181
2019,은평구,130
2019,서대문구,118
2019,마포구,142
2019,양천구,121
2019,강서구,170
2019,구로구,104
2019,금천구,55
2019,영등포구,108
2019,동작구,78
2019,관악구,110
2019,서초구,177
2019,강남구,155
2019,송파구,169
2019,강동구,124
2019,서울대공원,1
